Title,Discipline1,Discipline2,More
Orbis Litterarum,Literaturoznawstwo,,
Orbital: wiadomości i informacje (Warszawa),Chemia,,
Ordines Militares,Archeologia,Historia i archiwistyka,Sztuka;Kulturoznawstwo;Religioznawstwo i teologia
Organic and Biomolecular Chemistry,Chemia organiczna,,
Organic Letters,Chemia organiczna,,
Organisms Diversity & Evolution,Biologia ewolucyjna,Zoologia,
Organizacja i Kierowanie,Nauki o zarządzaniu,Ekonomia,
"Organizacja, Metody, Technika",Administracja,,
Organometallics,Chemia nieorganiczna,Chemia jądrowa,Chemia organiczna
Organon (Warszawa),Historia i archiwistyka,Filozofia,
Orient: zeszyty naukowe Koła Naukowego Orientalistów Uniwersytetu Jagiellońskiego,Filologia,,
Origins of Life and Evolution of Biospheres,Biologia,,
Orzecznictwo Sądów Apelacyjnych,Prawo,,
Orzecznictwo Sądów Polskich i Komisji Arbitrażowych,Prawo,,
Orzeł Biały,Stosunki międzynarodowe,,
Osaka Journal of Mathematics,Matematyka,,
Österreichische Osthefte,Nauki polityczne,Administracja,
Österreichisches Jahrbuch für Exlibris und und Gebrauchsgraphik,Sztuka,,
Osteuropa,Nauki polityczne,,
Osteuropa Wirtschaft,Ekonomia,Gospodarka i planowanie,
Osteuropa-Recht,Prawo,,
Ostrakon studia antiquitatis toruniensia,,,
Oświata Dorosłych,Edukacja,,
Oud Holland,Sztuka,,
Pacific Journal of Mathematics,Matematyka,,
Pakistan Journal of Scientific and Industrial Research,Nauka,,
PAL Przegląd Artystyczno-Literacki,Literaturoznawstwo,Sztuka,
Palaeobulgarica = Starob''lgaristika,Językoznawstwo,,
Palamedes a journal of ancient history,Historia i archiwistyka,,
Památky Archeologické,Archeologia,,
Pamiętnik Literacki (Londyn),Emigracja i imigraca,Historia i archiwistyka,Nauki społeczne
Pamiętnik Puławski,Rolnictwo,,
Pamiętnik Sztuk Pięknych. Nowa Seria,Sztuka,,
Pampaedia leszczyńskie studia humanistyczne,Nauki humanistyczne,,
Panamerican Mathematical Journal,Matematyka,,
"Państwo, Prawo, Administracja zeszyty naukowe",,,
Papers on Global Change,Ekologia,Oceanografia,Geofizyka
"Papua New Guinea Journal of Mathematics, Computing",Matematyka,,
Para Bellum voenno-istoriçeskij žurnal,Wojskowość i policja,,
Parasitology Research,Parazytologia,,
Paripex Indian Journal of Research,Multidyscyplinarny,,
Parki Narodowe,Nauki przyrodnicze,,
Parkiet: gazeta giełdy,Ekonomia,,
"Parliaments, Estates and Representation",Nauki polityczne,,
Passato e Presente,Historia i archiwistyka,Filozofia,
Pastores: kwartalnik poświęcony formacji kapłańskiej,Religioznawstwo i teologia,,
PATH,,,
Patient Preference and Adherence,Medycyna,,
"Pátio ensino médio, profissional e tecnológico",Pedagogika,Edukacja,
Pedagog?ka ? Psiholog?â. Ki?v,,,
Pedagogika Kultury,Antropologia kulturowa,Pedagogika,Edukacja
Pedagogika Mediów,Dziennikarstwo i media,Edukacja,
Pedagogika Pracy,Pedagogika,,
Pediatric Hematology and Oncology,Onkologia,Pediatria,Hematologia
Pedobiologia,Ekologia,Gleboznawstwo,
Penetrator wiadomości gospodarcze,Ekonomia,Gospodarka i planowanie,
Pensamiento y Cultura,Filozofia,,
Permafrost and Periglacial Processes,Geografia fizyczna,Geologia,
Personal Relationships,Psychologia społeczna,Komunikacja społeczna,
Personality and Individual Differences,Psychologia społeczna,,
Personality and Social Psychology Bulletin,Psychologia społeczna,,
Personel. Dodatek,,,
Perspectiva: legnickie studia teologiczno-historyczne,Religioznawstwo i teologia,,
"Perspectives in Plant Ecology, Evolution and Systematics",Botanika,Ekologia,
Perspectives Médiévales,Filologia,,
"Perspectives of Innovations, Economics and Business",Ekonomia,Biznes,
Pest Management Science,Entomologia,Agronomia,
Pflügers Archiv European journal of physiology,Fizjologia,,
Pharmaceutica Analytica Acta,Farmacja,,
Pharmacogenomics,Farmacja,,
Pharmacotherapy,Farmacja,,
Pharmazie,Farmacja,Chemia,Chemia medyczna
Philologica Jassyensia,Językoznawstwo,Literaturoznawstwo,Filologia
Philologica Wratislaviensia: acta et etudia,Filologia,,
Philologus (Berlin),Filologia,,
"Philosophical Transactions of the Royal Society. A - Mathematical, Physical and Engineering Sciences",Nauka,,
"Phosphorus, Sulfur and Silicon and the Related Elements",Chemia nieorganiczna,Chemia jądrowa,Chemia organiczna
Photochemistry and Photobiology,Biochemia,Biofizyka,Biologia molekularna
Photosynthesis Research,Botanika,,
Photosynthetica,Botanika,,
Physica Medica,Medycyna nuklearna,Radiologia,
Physica Scripta,Fizyka,,
Physica Status Solidi. A,Fizyka stosowana,Materiałoznawstwo,Fizyka materii skondensowanej
Physica Status Solidi. B,Fizyka materii skondensowanej,,
Physica Status Solidi. C,Fizyka,,
Physica. A,Fizyka,,
Physica. B,Fizyka materii skondensowanej,,
Physica. B + C,Fizyka,,
Physica. C,Fizyka stosowana,,
Physica. D,Matematyka stosowana,Fizyka,Fizyka matematyczna
Physica. E,Fizyka materii skondensowanej,Nanotechnologia,
Physical Chemistry Chemical Physics,Chemia fizyczna,Fizyka molekularna,Fizyka chemiczna
"Physical Review A, Atomic, Molecular, and Optical Physics",Fizyka molekularna,Optyka,Fizyka chemiczna
Physical Review Letters,Fizyka,,
"Physical Review. A , General Physics",Fizyka,,
Physical Review. B,Fizyka materii skondensowanej,,
Physical Review. D,Fizyka,Astronomia,Astrofizyka
Physical Review. E,Fizyka,Fizyka matematyczna,
Physical Review. X,Fizyka,,
Physics Education,Fizyka,Edukacja,
Physics Letters. A,Fizyka,,
Physics of Plasmas,Fizyka,,
Physics Procedia,Fizyka,,
"Physics Reports: a review section of ""Physics Letters""",Fizyka,,
Physics Today,Fizyka,,
Physics World,Fizyka,,
Physiologia Plantarum,Botanika,,
Physiological and Biochemical Zoology,Fizjologia,Zoologia,
Physiologist,Fizjologia,,
Physiology and Behaviour,Behawioryzm,,
Phytochemistry,Biochemia,Biologia molekularna,Botanika
Phytocoenologia,Botanika,Ekologia,
Phytomorphology,Botanika,,
Phytopathologia Polonica,Botanika,,
Pielęgniarstwo i Zdrowie Publiczne,Pielęgniarstwo,Medycyna,Zdrowie i bezpieczeństwo publiczne
"Pielgrzym: pismo poświęcone filozofii, historyi i literaturze",Religioznawstwo i teologia,Filozofia,
Pielgrzym: tygodnik katolicki,Religioznawstwo i teologia,,
Pieśń Skrzydlata,Nauki społeczne,Historia i archiwistyka,
Pigment Cell Research,Komórka biologiczna,Dermatologia,
Piosenka: rocznik kulturalny,Muzyka,,
Pirandelliana rivista internazionale di studi e,Literaturoznawstwo,,
Pivdennij Arhiv. Istorični Nauki,,,
Planet (Plymouth),,,
Planetary and Space Science,Astronomia,Astrofizyka,
Plant and Soil,Agronomia,Gleboznawstwo,Botanika
Plant Biology,Botanika,,
Plant Breeding,Agronomia,Biotechnologia,Mikrobiologia;Botanika
Plant Cell Reports,Botanika,,
"Plant Cell, Tissue and Organ Culture",Biotechnologia,Mikrobiologia,Botanika
Plant Growth Regulation,Botanika,,
Plant Journal,Botanika,,
Plant Physiology,Botanika,,
Plant Physiology and Biochemistry,Botanika,,
Plant Production Science,Agronomia,,
Plant Reproduction,Botanika,Biologia rozwoju,
Plant Science,Biochemia,Biologia molekularna,Botanika
Plant Signaling and Behavior,Botanika,,
"Plant, Soil and Environment",Agronomia,,
Planta,Botanika,,
Plasmonics,Chemia fizyczna,Materiałoznawstwo,Nanotechnologia
Plastic and Reconstructive Surgery,Chirurgia,,
Plastičeskie Massy,Materiałoznawstwo,,
Plastyka i Wychowanie,Sztuka,Edukacja,
PLoS One,Biologia,Medycyna,Nauka
Płocki Rocznik Historyczno-Archiwalny,Historia i archiwistyka,,
Płockie Studia Dydaktyczne,Dydaktyka,,
Po Prostu,Emigracja i imigraca,,
Podstawy Nauk Politycznych,,,
Poezja Dzisiaj,Literaturoznawstwo,,
Pogranicza: szczeciński kwartalnik kulturalny,Literaturoznawstwo,Kulturoznawstwo,
Pogranicze: Polish borderlands studies,Geografia,,
Pogranicze: studia społeczne,Geografia,Nauki społeczne,
Pokaz,Sztuka,,
Pokolenia: biuletyn Komisji Historycznej KC ZMS,Historia i archiwistyka,Nauki polityczne,
Pol?tologični Čitannâ,,,
Polar Biology,Bioróżnorodność,Ekologia,
Polar Record,Ekologia,Nauki o środowisku,
Polar Research,Ekologia,Oceanografia,Nauka o Ziemi
Polar Science,Ekologia,Oceanografia,Nauka o Ziemi
Polen-Analysen,Nauki polityczne,Nauki społeczne,Gospodarka i planowanie
Policja kwartalnik kadry kierowniczej policji,Nauki o zarządzaniu,Nauki o bezpieczeństwie,Nauki o administracji;Prawo
Policyjny Biuletyn Szkoleniowy,Wojskowość i policja,,
Polilog: studia neofilologiczne,Filologia,,
Polin a journal of Polish-Jewish studies,Kulturoznawstwo,Historia i archiwistyka,
Polish American Studies,Historia i archiwistyka,Kulturoznawstwo,Literaturoznawstwo;Socjologia;Nauki polityczne
Polish Anglosaxon Studies,Historia i archiwistyka,Kulturoznawstwo,
Polish Botanical Studies,Botanika,,
"Polish Culture : books, art & design, music, entertainment & festivals",Kulturoznawstwo,Sztuka,
Polish Foreign Affairs Digest,Stosunki międzynarodowe,,
Polish Journal of Natural Sciences. Supplement,Nauki przyrodnicze,,
Polish Journal of Pharmacology and Pharmacy,Farmacja,,
Polish Journal of the Arts and Culture,Kulturoznawstwo,,
Polish Maritime News,Handel,,
Polish Peace Research Studies,Bezpieczeństwo międzynarodowe,,
Polish Political Science,Nauki polityczne,,
Polish Population Review,Demografia,,
Polish Review,Emigracja i imigraca,,
Polish Review of International and European Law,Prawo,,
Polish Sociological Bulletin,Socjologia,,
Polish Teacher Trainer,Edukacja,,
Polish Western Affairs,Stosunki międzynarodowe,,
Politeja,Nauki polityczne,Stosunki międzynarodowe,
Political Studies Review,Nauki polityczne,,
Političeskaâ Lingvistika,Językoznawstwo,,
Politics and Religion,Religioznawstwo i teologia,Nauki polityczne,
Politics in Central Europe,Nauki polityczne,,
Politologia i Stosunki Międzynarodowe,Stosunki międzynarodowe,,
Polityka,Nauki polityczne,,
Polityka Wschodnia,Stosunki międzynarodowe,,
Polnische Weststudien,Stosunki międzynarodowe,,
Polonia Sacra;kwartalnik teologiczny,Religioznawstwo i teologia,,
Polonia Włoska: biuletyn informacyjny,Emigracja i imigraca,,
Poloniaeuropae,Nauka,,
Polska Kardiologia Prenatalna Echo Płodu,Medycyna,Ginekologia,Położnictwo
Polska Zbrojna. Historia ,Historia i archiwistyka,,
Polski Tygodnik Lekarski,Medycyna,,
"Polski Uniwersytet Ludowy: młodzież, kultura, wieś",Nauki społeczne,Kulturoznawstwo,
Polskie Archiwum Hydrobiologii,Hydrobiologia,,
Polskie Pismo Entomologiczne,Zoologia,Biologia,
Polyhedron the international journal for  inorganic and organometallic chemistry,Chemia nieorganiczna,Krystalografia,
Polymer,Polimery,,
Polymer Bulletin,Polimery,,
Polymer Composites,Polimery,Materiałoznawstwo,
Polymer Degradation and Stability,Polimery,,
Polymer Engineering and Science,Polimery,Inżynieria chemiczna,
Polymer Journal,Polimery,,
Polymer Networks and Blends,Polimery,,
Polymer Testing,Polimery,Materiałoznawstwo,
Polymers for Advanced Technologies,Polimery,,
Pomerania,Geografia,,
"Pomiary,Automatyka, Kontrola",Automatyka,,
Pomoerium,Historia i archiwistyka,Filologia,
Pomorania Antiqua,Archeologia,,
Pomorze i Kujawy,Geografia,Turystyka,
Pomorze Nadwiślańskie,Geografia,Turystyka,
Pomosty: dolnośląski rocznik literacki,Literaturoznawstwo,,
Population et Avenir,Demografia,,
Poradnik Komornika Sądowego,Prawo,,
Poradnik Muzyczny,Muzyka,,
Porównania czasopismo poświęcone zagadnieniom komparatystyki literackiej oraz studiom interdyscyplinarnym,Literaturoznawstwo,Sztuka,
Porta Linguarum,Językoznawstwo,Edukacja,
Posłaniec Ducha Świętego,Religioznawstwo i teologia,,
Postępy Astronautyki,Astronautyka,,
Postępy Astronomii,Astronomia,,
Postępy Kryminalistyki,Kryminalistyka,,
Postępy Medycyny Sądowej i Kryminologii,Kryminalistyka,Medycyna,
Postscriptum,Językoznawstwo,Literaturoznawstwo,
Potop,Literaturoznawstwo,,
Powder Diffraction,Materiałoznawstwo,,
Poznaj Świat,Geografia,,
Poznan University of Technology Academic Journals. Electrical Engineering,Elektrotechnika,,
Poznańskie Studia z Filozofii Humanistyki,Filozofia,,
Prace Filologiczne. Seria Literaturoznawcza,Literaturoznawstwo,Filologia,
Prace Geograficzne (Kraków),Geografia,,
Prace i Materiały Historyczne Archiwum Archidiecezjalnego w Łodzi i Muzeum Archidiecezji Łódzkiej,Sztuka,Historia i archiwistyka,Muzelanictwo
Prace i Materiały Muzeum Archeologicznego i Etnograficznego w Łodzi,Archeologia,Muzelanictwo,
Prace i Materiały Wydziału Zarządzania Uniwersytetu Gdańskiego,Organizacja i zarządzanie,,
Prace Instytutu Sadownictwa w Skierniewicach. Seria C,Ogrodnictwo i sadownictwo,,
Prace Językoznawcze / Uniwersytet Warmińsko-Mazurski,Językoznawstwo,,
Prace Komisji Historii Nauki / Polska Akademia Umiejętności,Nauka,,
Prace Komisji Konstytucyjnej Senatu RP,Nauki polityczne,,
Prace Komisji Krajobrazu Kulturowego PTG,Ekologia,Geografia,
Prace Komisji Nauk Filologicznych Oddziału Polskiej,Filologia,,
Prace Komisji Nauk Rolniczych i Biologicznych,Nauki przyrodnicze,,
Prace Komisji Naukowych,Nauka,,
Prace Komisji Prawa i Ekonomii /  Bydgoskie Towarzystwo Naukowe,Ekonomia,Prawo,
Prace Komisji Spraw Europejskich / Polska Akademia Umiejętności,Unia Europejska,,
Prace Naukowe Akademii Ekonomicznej im.Oskara Langego we Wrocławiu.,Ekonomia,Rachunkowość,Organizacja i zarządzanie;Informatyka
Prace Naukowe Akademii im. Jana Długosza w Częstochowie,,,
Prace Naukowe Głównego Instytutu Górnictwa.,Górnictwo,,
Prace Naukowe Instytutu Chemii i Technologii Nafty,,,
Prace Naukowe Instytutu Technologii Organicznej i,,,
Prace Naukowe Katedry Ekonomii i Zarządzania Przedsiębiorstwem,Ekonomia,Organizacja i zarządzanie,
Prace Naukowe Katedry Zarządzania / Akademia Morska,Organizacja i zarządzanie,,
Prace Naukowe Politechniki Szczecińskiej. Instytut Technologii Chemicznej Nieorganicznej i Inżynierii Środowiska,Chemia,Inżynieria środowiska,
Prace Naukowe Uniwersytetu Ekonomicznego we Wrocławiu,Ekonomia,,
Prace Naukowe Wyższej Szkoły Bankowej w Gdańsku,Ekonomia,Finanse,Nauki o zarządzaniu;Prawo;Transport
Prace Naukowe Wyższej Szkoły Pedagogicznej w,,,
Praeconia,,,
Praehistorische Zeitschrift,Antropologia kulturowa,,
Pramana journal of physics,Fizyka,,
Pravni Vjesnik,Prawo,,
Právnik,Prawo,,
Prawa Człowieka: Humanistyczne Zeszyty Naukowe,Prawo,,
Prawa Dziecka,Prawo,,
Prawo Bankowe,Prawo,Bankowość,
Prawo i Administracja / Wyższa Szkoła Biznesu w Pile,Prawo,Administracja,
Prawo i Podatki Unii Europejskiej w Praktyce,Prawo,Podatki,Unia Europejska
Prawo i Życie,Prawo,,
Prawo Papierów Wartościowych,Prawo,,
Prawo Pracy,Prawo,Praca,
Prawo Spółek,Prawo,,
Prawo Teleinformatyczne,Telekomunikacja,Informatyka,
Praxis Geschichte,Historia i archiwistyka,,
Praxishandbuch WeiterbildungsRecht. Infobrief,Edukacja,,
Prądnik,Geografia,,
Preferencje Polityczne,Nauki o polityce,Psychologia,Socjologia;Prawo;Nauki o mediach
Preprints / American Chemical Society. Division of Petroleum Chemistry,Chemia,,
Preussenland,Historia i archiwistyka,,
Pridneprovskij Naučnyj Vestnik = Pridneprovsky,,,
Prilozi / Makedonska Akademija na Naukite i umetnostite,Medycyna,,
Print Quarterly,Bibliotekoznawstwo i informacja naukowa,Sztuka,
Pro Memoria: pismo miłośników przeszłości,Historia i archiwistyka,,
ProAtom,Energetyka,,
Probability Theory and Related Fields,Statystyka i prawdopodobieństwo,,
Problemi na Geografiâta = Problems of Geography / Blgarska akademiâ na naukite,Geografia,,
Problems of Education in the 21st century,Pedagogika,Edukacja,
Problemy : miesięcznik poświęcony zagadnieniom wiedzy i życia,Nauka,,
Problemy Alkoholizmu,Uzależnienia,,
Problemy Egzekucji Sądowej,Prawo,,
Problemy Egzekucji: magazyn komorników sądowych,Prawo,,
Problemy Ekonomiki Transportu,Transport,,
Problemy Ekorozwoju,Nauki o środowisku,,
Problemy Integracji Europejskiej,Unia Europejska,,
"Problemy Istorii, Filologii, Kul'tury",Historia i archiwistyka,Filologia,Kulturoznawstwo
Problemy Oświaty na Wsi,Edukacja,,
Problemy Praworządności: organ Prokuratury PRL,Nauki polityczne,,
Problemy Rad Narodowych: studia i materiały,Prawo,,
Problemy Rehabilitacji Społecznej i Zawodowej,Rehabilitacja,Niepełnosprawni,
Problemy Rodziny,Socjologia,,
Problemy Rozwoju Budownictwa,Budownictwo,,
Problemy Rozwoju Miast kwartalnik naukowy,Geografia,Architektura,Budownictwo;Inżynieria środowiska;
Problemy Społecznego Ruchu Naukowego,Nauka,,
Problemy Turystyki,Turystyka,,
Problemy Współczesnego Prawa Międzynarodowego Europejskiego i Porównawczego,Prawo,Europa,
Procedia Economics and Finance,Ekonomia,Finanse,
Procedia Engineering,Inżynieria,,
Procedia social & behavioral sciences,Archeologia,Bibliotekoznawstwo i informacja naukowa,"Filozofia;Historia i archiwistyka;Językoznawstwo;Organizacja i zarządzanie;Nauki polityczne;Pedagogika, Psychologia;Socjologia;Ekonomia;Finanse;Administracja;Geografia;Architektura;Transport;"
Proceedings of SPIE - the International Society for Optical Engineering,Fotografia,Optyka,
Proceedings of Symposia in Pure Mathematics,Matematyka,,
Proceedings of the American Mathematical Society,Matematyka,Matematyka stosowana,
Proceedings of the Indian Academy of Sciences.,,,
Proceedings of the International Conference on,,,
Proceedings of the London Mathematical Society.,Matematyka,,
Proceedings of the National Academy of Sciences of the United States of America,Nauka,,
Process Biochemistry,Biologia molekularna,Inżynieria chemiczna,Mikrobiologia;Biochemia;Biotechnologia
Profile Głębokich Otworów Wiertniczych,Geologia,,
Programista: magazyn programistów i liderów zespołów IT,Informatyka,,
PROGRES Kujawsko-pomorskie forum innowacji,,,
Progress in Mathematics,Matematyka,,
Progress in Plant Protection = Postępy w Ochronie Roślin,Chemia,Botanika,
Progress in Polymer Science,Polimery,,
Progress in Retinal and Eye Research,Okulistyka,,
Progress in Surface Science,Chemia fizyczna,Fizyka materii skondensowanej,
Progress on Chemistry and Application of Chitin and Its Derivatives,Chemia,,
Projekty Budowlane,,,
Prometheus,,,
"Promocje Kujawsko-Pomorskie: nauka, kultura, gospodarka, ochrona środowiska",Nauka,Gospodarka i planowanie,Geografia
Promocje Pomorskie,Geografia,,
Propagation of Ornamental Plants,Ogrodnictwo i sadownictwo,,
Prospettive (Catania),,,
Protein Science,Biochemia,Biologia molekularna,
"Proteins structure, function and bioinformatics",Biochemia,,
Protoplasma an international journal of cell biology,Botanika,Komórka biologiczna,
Proudy,Nauki polityczne,,
Pruthenia: pismo poświęcone Prusom i ludom bałtyjskim,Językoznawstwo,Historia i archiwistyka,
Pryzmat: miesięcznik społeczno-kulturalny,Nauki społeczne,,
Przedsiębiorstwo i Finanse,Finanse,Organizacja i zarządzanie,Polityka społeczna
Przedświt czasopismo ewangelizacyjno-powołaniowe,Religioznawstwo i teologia,,
Przegląd,,,
Przegląd Antropologiczny: organ Polskiego Towarzystwa Antropologicznego,Antropologia kulturowa,,
Przegląd Artystyczno-Literacki,Literaturoznawstwo,Sztuka,
Przegląd Ekologiczny Pomorza i Kujaw,Ekologia,,
Przegląd Eureka: serwis informacji naukowo-technicznej,Nauka,,
Przegląd Europy Środkowej i Wschodniej,Unia Europejska,,
Przegląd Historyczno-Oświatowy,Pedagogika,Historia i archiwistyka,
Przegląd Informacyjno-Dokumentacyjny,Wojskowość i policja,Bibliotekoznawstwo i informacja naukowa,
Przegląd Kawalerii i Broni Pancernej: kwartalnik historyczny,Wojskowość i policja,Historia i archiwistyka,
Przegląd Naukowo-Metodyczny: edukacja dla bezpieczeństwa,Zdrowie i bezpieczeństwo publiczne,,
Przegląd Naukowy Kultury Fizycznej Uniwersytetu Rzeszowskiego,Kultura fizyczna i sport,,
Przegląd Numizmatyczny,Numizmatyka,,
Przegląd Polityczno-Gospodarczy Europy Środkowej i Wschdniej,Nauki polityczne,Gospodarka i planowanie,Europa
Przegląd Polonijny,Emigracja i imigraca,,
Przegląd Polski= Polish Review : tygodnik społeczno-literacki,Nauki społeczne,Literaturoznawstwo,
Przegląd Prawa Europejskiego,Prawo,Europa,
Przegląd Prawa Karnego,Prawo,,
Przegląd Prawa Technologii Informacyjnych,Prawo,Informatyka,
"Przegląd Prawniczy, Ekonomiczny i Społeczny",Prawo,Ekonomia,
Przegląd Regionalny,Finanse,,
Przegląd Społeczny,Nauki społeczne,,
Przegląd Tatarski: kwartalnik społeczno-kulturalny,Nauki społeczne,Kulturoznawstwo,
Przegląd Techniczny,Nauki techniczne,Energetyka,Telekomunikacja
"Przegląd Telekomunikacyjny: : miesięcznik poświęcony sprawom telefonji, telegrafji, sygnalizacji, radja wydawany przez Stowarzyszenie Teletechników Polskich przy poparciu Ministerstwa Poczt i Telegrafów",Telekomunikacja,,
"Przegląd Tyflologiczny: półroczny dodatek do ""Pochodni""",Niepełnosprawni,,
Przegląd Tygodniowy,Nauki społeczne,Nauki polityczne,
Przegląd Uniwersytecki / Uniwersytet Szczeciński,Nauki społeczne,,
Przegląd Wyborczy,Nauki polityczne,,
Przegląd Zoologiczny,Zoologia,,
Przemysł Kosmetyczny,Chemia,,
Przestępczość na Świecie,Prawo,,
Przestrzenie Teorii / Uniwersytet im. Adama Mickiewicza w Poznaniu,Literaturoznawstwo,Filozofia,
Przestrzeń: informator planowania przestrzennego (Włocławek),Architektura,,
Przeszłość i Pamięć: biuletyn Rady Ochrony Pamięci Walk i Męczeństwa,Historia i archiwistyka,,
Przewodnik Katolicki,Religioznawstwo i teologia,,
Przewoźnik,Transport,,
Przyroda Polska,Nauki przyrodnicze,,
PSI Nuclear and Particle Physics Newsletter,Fizyka,,
PSiCL Poznań Studies in Contemporary Linguistics,Językoznawstwo,,
Psiholog?â Osobist?st',,,
"Psychologia, Etologia, Genetyka",Psychologia,Zoologia,Genetyka
Psychologia. Edukacja i Społeczeństwo,Psychologia,,
Pszczelnicze Zeszyty Naukowe,Ogrodnictwo i sadownictwo,,
PTINT Praktyka i Teoria Informacji Naukowej i Technicznej ,Bibliotekoznawstwo i informacja naukowa,,
Publicacions Matematiques,Matematyka,,
Publication de l'Institut de Recherche Mathématique Avanceé,Matematyka,,
Publications Astronomical Society of Australia,Astronomia,,
Publications of the Astronomical Society of Japan,Astronomia,Astrofizyka,
Publications of the Astronomical Society of the Pacific,Astronomia,Astrofizyka,
Publius The Journal of Federalism,Nauki polityczne,,
Puls Aleksandrowa (Aleksandrów Kujawski),Administracja,,
Puls: toruński magazyn regionalny,Nauki społeczne,Nauki polityczne,
Punkt : pismo społeczno-kulturalne,Nauki społeczne,,
Pure and Applied Chemistry,Chemia,,
Pure and Applied Geophysics,Geofizyka,Geochemia,
Pure Mathematics and Applications,Matematyka,,
Purinergic Signalling,Neuronauka,,
Qasevet istoriko-ėtnografičeskij žurnal,Historia i archiwistyka,,
QSAR & Combinatorial Science,Chemia,Chemia medyczna,Informatyka;Farmacja
Quaderni Borromaici: saggi studi proposte,Finanse,,
Quaderni Costituzionali,Prawo,,
Quaderni del Dipartimento Patrimonio Architettonico,Architektura,,
"Quaestiones Geographicae. Seria A , Physical Geography",Geografia,,
Quaestiones Geographicae. Special Issue,Geografia,,
Quaestiones Selectae,Religioznawstwo i teologia,,
Quality Progress,Organizacja i zarządzanie,Inżynieria przemysłowa,
Quantum Electronics,Elektrotechnika,Fizyka stosowana,Elektronika
Quart kwartalnik Instytutu Historii Sztuki,Sztuka,,
Quaternary International,Geografia fizyczna,Nauka o Ziemi,
Quaternary Science Reviews,Geografia fizyczna,Nauka o Ziemi,
Quaternary Studies in Poland,Geografia,,
"Rachunkowość Stowarzyszeń, Fundacji, Organizacji",Rachunkowość,Finanse,
Racja Stanu,Stosunki międzynarodowe,,
Rada Narodowa,Administracja,Gospodarka i planowanie,
Radiation Effects and Defects in Solids,Fizyka,Technika jądrowa,Technologia;Fizyka materii skondensowanej
Radiation Measurements,Technika jądrowa,Technologia,
Radiation Physics and Chemistry,Chemia fizyczna,Fizyka molekularna,Technika jądrowa;Fizyka chemiczna
Radiocarbon,Geofizyka,Geochemia,
RAIRO - Operations Research,Organizacja i zarządzanie,,
Rapid Communications in Mass Spectrometry,Biochemia,Chemia analityczna,Spektroskopia
Rasinski Anali,Historia i archiwistyka,Geografia,
Razem biuletyn Instytutu Akcji Katolickiej Diecezji Toruńskiej,Religioznawstwo i teologia,,
RB: Revue banque,Finanse,Bankowość,
Reaction Kinetics and Catalysis Letters,Chemia,,
"Reaction Kinetics, Mechanisms and Catalysis",Chemia,,
Reactive and Functional Polymers,Chemia,,
Reality of Politics,Nauki polityczne,,
Recent Patents on Chemical Engineering,Chemia,,
Récents Progres en Génie des Procédés,Chemia,,
Recherches Archéologiques. Nouvelle Serie,Archeologia,,
Rechtsgeschichte,Historia i archiwistyka,,
Rechtstheorie (Berlin),Prawo,Filozofia,
Recogito,,,
Reconstruction and Experiment in Archaeology EuroREA,Archeologia,,
"Refleksje: pismo pedagogiczne - edukacja, oświata",Pedagogika,Edukacja,
Reforma Szkolna,Edukacja,,
Reformation and Renaissance Review,Historia i archiwistyka,,
Regional Environmental Change,Nauki o środowisku,,
Regionalais Zinojums = Regional Review,Nauki społeczne,,
"Regionalnik Kujawsko-Pomorski: partnerstwo, środowisko, rozwój",Ochrona środowiska,,
Regular and Chaotic Dynamics,Matematyka stosowana,Fizyka matematyczna,Mechanika
Rekonstrukce a Experiment v Archeologii,Archeologia,,
Relacje - Interpretacje kwartalnik Regionalnego,Nauki społeczne,,
Religion & Gesellschaft in Ost und West,Religioznawstwo i teologia,,
"Religion, State and Society",Religioznawstwo i teologia,Nauki polityczne,
Rendiconti del Circolo Matematico di Palermo,Matematyka,,
Renewable and Sustainable Energy Reviews,Ekologia,Energia i paliwa,
Renowacje,Architektura,Sztuka,
Report Zeitschrift für Weiterbildungsforschung,Pedagogika,Edukacja,
"Reporter (Bellefonte, PA)",,,
Res Cottidianae pismo Wydziału Prawa i  i Administracji Uniwersytetu Mikołaja Kopernika w Toruniu,Prawo,,
Res Facta Nova teksty o muzyce współczesnej,Muzyka,,
Res Gestae czasopismo historyczne,Historia i archiwistyka,,
Res Humana,Nauki humanistyczne,,
Res Publica,Nauki polityczne,Kulturoznawstwo,
Research Advances in Applied Physics,,,
Research and Science Today,Ekonomia,Nauki społeczne,
Research in Logistics and Production,Logistyka,,
"Resources, Conservation and Recycling",Ochrona środowiska,,
Restaurator international journal for the preservation of library and archival material,Bibliotekoznawstwo i informacja naukowa,,
Restauro,Architektura,,
"Reti, Saperi, Linguaggi",Kognitywistyka,,
Retina the journal of retinal and vitreous diseases,Okulistyka,,
Review of International Law and Politics,Nauki polityczne,Prawo,
Review of Scientific Instruments,Fizyka,,
Reviews in Chemical Engineering,Chemia,,
Revista Criaçao & Crítica,Literaturoznawstwo,,
Revista Crítica de Historia de las Relaciones Laborales y de la Política Social,Nauki społeczne,,
Revista da Faculdade de Direito de Sao Bernardo do do Campo,Prawo,,
Revista de Chimie (Bucharest),Chemia,Inżynieria chemiczna,
Revista de Métodos Cuantitativos para la Economía y la empresa,Ekonomia,Matematyka,
Revista Derecho Social y Empresa,Prawo,Biznes,
Revista Espanola de Teología,Religioznawstwo i teologia,,
