Title1,Title2,DisciplinesString
REVIEW OF ECONOMICS AND STATISTICS,Review of Economics and Statistics,ekonomia i finanse;nauki o zarządzaniu i jakości
Review of Economics of the Household,Review of Economics of the Household,nauki o kulturze i religii;ekonomia i finanse;nauki o zarządzaniu i jakości;nauki socjologiczne
Review of Education,,nauki o kulturze i religii;pedagogika
Review of Education Pedagogy and Cultural Studies,"Review of Education, Pedagogy, and Cultural Studies",nauki o kulturze i religii;nauki socjologiczne;pedagogika
REVIEW OF EDUCATIONAL RESEARCH,Review of Educational Research,nauki o kulturze i religii;pedagogika
REVIEW OF ENGLISH STUDIES,The Review of English Studies,językoznawstwo;literaturoznawstwo;nauki o kulturze i religii
Review of Environmental Economics and Policy,Review of Environmental Economics and Policy,"nauki o kulturze i religii;architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;ekonomia i finanse;nauki o zarządzaniu i jakości"
Review of European Comparative & International Environmental Law,"Review of European, Comparative and International Environmental Law",architektura i urbanistyka;rolnictwo i ogrodnictwo;nauki o zarządzaniu i jakości;nauki prawne;prawo kanoniczne
Review of Faith & International Affairs,Review of Faith and International Affairs,nauki o kulturze i religii;nauki o bezpieczeństwie;nauki o polityce i administracji;prawo kanoniczne;nauki teologiczne
Review of Finance,Review of Finance,ekonomia i finanse;nauki o zarządzaniu i jakości
Review of Financial Economics,Review of Financial Economics,ekonomia i finanse;nauki o zarządzaniu i jakości
REVIEW OF FINANCIAL STUDIES,Review of Financial Studies,ekonomia i finanse;nauki o zarządzaniu i jakości
REVIEW OF GENERAL PSYCHOLOGY,Review of General Psychology,nauki o zdrowiu;psychologia
REVIEW OF HIGHER EDUCATION,Review of Higher Education,nauki o kulturze i religii;nauki o zarządzaniu i jakości;pedagogika
REVIEW OF INCOME AND WEALTH,Review of Income and Wealth,ekonomia i finanse;nauki o zarządzaniu i jakości;nauki socjologiczne
REVIEW OF INDUSTRIAL ORGANIZATION,Review of Industrial Organization,inżynieria mechaniczna;ekonomia i finanse;nauki o zarządzaniu i jakości
Review of International Business and Strategy,Review of International Business and Strategy,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
Review of International Economics,Review of International Economics,nauki o kulturze i religii;ekonomia i finanse;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości
Review of International Organizations,Review of International Organizations,historia;ekonomia i finanse;nauki o polityce i administracji;nauki o zarządzaniu i jakości
REVIEW OF INTERNATIONAL POLITICAL ECONOMY,Review of International Political Economy,historia;nauki o kulturze i religii;ekonomia i finanse;nauki o bezpieczeństwie;nauki o polityce i administracji;nauki o zarządzaniu i jakości
REVIEW OF INTERNATIONAL STUDIES,Review of International Studies,historia;nauki o kulturze i religii;nauki o bezpieczeństwie;nauki o polityce i administracji
Review of Keynesian Economics,Review of Keynesian Economics,ekonomia i finanse;nauki o zarządzaniu i jakości
Review of Korean Studies,Review of Korean Studies,historia;literaturoznawstwo;nauki o kulturze i religii;nauki o polityce i administracji
Review of Law & Economics,Review of Law and Economics,ekonomia i finanse;nauki o zarządzaniu i jakości;nauki prawne
Review of Managerial Science,Review of Managerial Science,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
REVIEW OF METAPHYSICS,Review of Metaphysics,filozofia;filozofia
Review of Middle East Studies,Review of Middle East Studies,historia;literaturoznawstwo;nauki o kulturze i religii;nauki o bezpieczeństwie;nauki o polityce i administracji;nauki socjologiczne
Review of Network Economics,Review of Network Economics,ekonomia i finanse;nauki o zarządzaniu i jakości
Review of Pacific Basin Financial Markets and Policies,Review of Pacific Basin Financial Markets and Policies,nauki o kulturze i religii;ekonomia i finanse;nauki o zarządzaniu i jakości
REVIEW OF PALAEOBOTANY AND PALYNOLOGY,Review of Palaeobotany and Palynology,nauki farmaceutyczne;nauki leśne;rolnictwo i ogrodnictwo;nauki biologiczne;nauki o Ziemi i środowisku
Review of Philosophy and Psychology,Review of Philosophy and Psychology,filozofia;psychologia
Review of Policy Research,Review of Policy Research,historia;nauki o kulturze i religii;nauki o bezpieczeństwie;nauki o polityce i administracji;nauki o zarządzaniu i jakości
Review of Political Economy,Review of Political Economy,historia;nauki o kulturze i religii;ekonomia i finanse;nauki o polityce i administracji;nauki o zarządzaniu i jakości
Review of Public Personnel Administration,Review of Public Personnel Administration,nauki o polityce i administracji;nauki o zarządzaniu i jakości
Review of Quantitative Finance and Accounting,Review of Quantitative Finance and Accounting,ekonomia i finanse;nauki o zarządzaniu i jakości
Review of Rabbinic Judaism,Review of Rabbinic Judaism,historia;nauki o kulturze i religii
REVIEW OF RADICAL POLITICAL ECONOMICS,Review of Radical Political Economics,nauki o kulturze i religii;ekonomia i finanse;nauki o zarządzaniu i jakości
Review of Regional Research-Jahrbuch fur Regionalwissenschaft,Jahrbuch für Regional Wissenschaft/Review of Regional Research,"nauki o kulturze i religii;architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości"
Review of Regional Studies,Review of Regional Studies,"nauki o kulturze i religii;architektura i urbanistyka;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;ekonomia i finanse;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości"
REVIEW OF RELIGIOUS RESEARCH,Review of Religious Research,nauki o kulturze i religii;nauki socjologiczne;prawo kanoniczne
REVIEW OF SCIENTIFIC INSTRUMENTS,Review of Scientific Instruments,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;astronomia;nauki chemiczne;nauki fizyczne"
REVIEW OF SOCIAL ECONOMY,Review of Social Economy,nauki o kulturze i religii;ekonomia i finanse;nauki o zarządzaniu i jakości
Review of Socionetwork Strategies,,informatyka techniczna i telekomunikacja;nauki o zarządzaniu i jakości;informatyka
Review of Symbolic Logic,Review of Symbolic Logic,filozofia;matematyka
Review of the Bulgarian Geological Society,,"inżynieria środowiska, górnictwo i energetyka;nauki o Ziemi i środowisku"
REVIEW OF WORLD ECONOMICS,Review of World Economics,ekonomia i finanse;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki o polityce i administracji;nauki o zarządzaniu i jakości
REVIEW-LITERATURE AND ARTS OF THE AMERICAS,Review - Literature and Arts of the Americas,literaturoznawstwo;nauki o kulturze i religii;nauki o sztuce
REVIEWS IN AMERICAN HISTORY,Reviews in American history,historia;nauki o kulturze i religii;inżynieria biomedyczna
REVIEWS IN ANALYTICAL CHEMISTRY,Reviews in Analytical Chemistry,inżynieria biomedyczna;nauki farmaceutyczne;rolnictwo i ogrodnictwo;technologia żywności i żywienia;nauki chemiczne
Reviews in Anthropology,Reviews in Anthropology,historia;nauki o kulturze i religii;nauki o zdrowiu;nauki socjologiczne;nauki biologiczne
Reviews in Aquaculture,Reviews in Aquaculture,nauki o kulturze i religii;zootechnika i rybactwo;nauki biologiczne
Reviews in Cardiovascular Medicine,Reviews in Cardiovascular Medicine,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria
REVIEWS IN CHEMICAL ENGINEERING,Reviews in Chemical Engineering,inżynieria biomedyczna;inżynieria chemiczna;inżynieria materiałowa;nauki farmaceutyczne;technologia żywności i żywienia;nauki chemiczne
Reviews in Clinical Gerontology,,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
REVIEWS IN ENDOCRINE & METABOLIC DISORDERS,Reviews in Endocrine and Metabolic Disorders,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;zootechnika i rybactwo;nauki biologiczne
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,Reviews in Environmental Science and Biotechnology,"inżynieria biomedyczna;inżynieria chemiczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki biologiczne;nauki chemiczne"
REVIEWS IN FISH BIOLOGY AND FISHERIES,Reviews in Fish Biology and Fisheries,weterynaria;zootechnika i rybactwo;nauki biologiczne
Reviews in Fisheries Science & Aquaculture,Reviews in Fisheries Science and Aquaculture,technologia żywności i żywienia;weterynaria;zootechnika i rybactwo;nauki o zarządzaniu i jakości;nauki biologiczne
Reviews in Health Care,,inżynieria biomedyczna;inżynieria biomedyczna
REVIEWS IN INORGANIC CHEMISTRY,Reviews in Inorganic Chemistry,inżynieria biomedyczna;nauki farmaceutyczne;rolnictwo i ogrodnictwo;nauki chemiczne
REVIEWS IN MATHEMATICAL PHYSICS,Reviews in Mathematical Physics,matematyka;nauki fizyczne
REVIEWS IN MEDICAL MICROBIOLOGY,Reviews in Medical Microbiology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne
REVIEWS IN MEDICAL VIROLOGY,Reviews in Medical Virology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne
REVIEWS IN THE NEUROSCIENCES,Reviews in the Neurosciences,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne
Reviews of Adhesion and Adhesives,Reviews of Adhesion and Adhesives,inżynieria biomedyczna;inżynieria chemiczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki chemiczne
REVIEWS OF GEOPHYSICS,Reviews of Geophysics,inżynieria lądowa i transport;nauki fizyczne;nauki o Ziemi i środowisku
REVIEWS OF MODERN PHYSICS,Reviews of Modern Physics,inżynieria biomedyczna;inżynieria materiałowa;astronomia;nauki chemiczne;nauki fizyczne
REVIEWS ON ADVANCED MATERIALS SCIENCE,Reviews on Advanced Materials Science,inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki leśne;nauki chemiczne;nauki fizyczne
REVIEWS ON ENVIRONMENTAL HEALTH,Reviews on Environmental Health,"inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki biologiczne;nauki chemiczne"
Reviews on Recent Clinical Trials,Reviews on Recent Clinical Trials,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Revija za Kriminalistiko in Kriminologijo,Revija za Kriminalistiko in Kriminologijo,nauki medyczne;nauki o bezpieczeństwie;nauki prawne;nauki socjologiczne
Revija za Socijalnu Politiku,Revija za Socijalnu Politiku,historia;nauki socjologiczne
Revista 180,Revista 180,nauki o sztuce;architektura i urbanistyka
Revista Academica da Faculdade de Direito do Recife,,nauki prawne;nauki prawne
Revista Acta Geografica,,nauki o kulturze i religii;geografia społeczno-ekonomiczna i gospodarka przestrzenna
Revista Administracao em Dialogo,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
Revista Agrogeoambiental,,rolnictwo i ogrodnictwo;rolnictwo i ogrodnictwo
Revista Ambiente Contabil,,ekonomia i finanse;nauki o zarządzaniu i jakości
Revista Andina de Estudios Politicos,,historia;nauki o kulturze i religii;nauki o polityce i administracji
Revista Argentina de Ciencias del Comportamiento,,psychologia;psychologia
Revista Argentina de Clinica Psicologica,Revista Argentina de Clinica Psicologica,nauki farmaceutyczne;nauki medyczne;psychologia
Revista Argentina de Historiografia Linguistica,,językoznawstwo;językoznawstwo
REVISTA ARGENTINA DE MICROBIOLOGIA,Revista Argentina de Microbiologia,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;weterynaria;nauki biologiczne
Revista Argentina de Residentes de Cirugia,,inżynieria biomedyczna;nauki medyczne
Revista Artemis,,literaturoznawstwo;nauki o kulturze i religii
REVISTA ARVORE,Revista Arvore,nauki leśne;weterynaria
Revista Bio Ciencias,,inżynieria biomedyczna;nauki biologiczne
Revista Boliviana de Derecho,,nauki prawne;nauki prawne
Revista Brasileira de Anestesiologia,Revista Brasileira de Anestesiologia,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;weterynaria
REVISTA BRASILEIRA DE CIENCIA DO SOLO,Revista Brasileira de Ciencia do Solo,rolnictwo i ogrodnictwo;rolnictwo i ogrodnictwo
Revista Brasileira de Computacao Aplicada,,inżynieria biomedyczna;inżynieria mechaniczna;informatyka
Revista Brasileira de Direito,,nauki prawne;nauki prawne
Revista Brasileira de Direito Processual Penal,Revista Brasileira de Direito Processual Penal,historia;nauki medyczne;nauki prawne
Revista Brasileira de Enfermagem,Revista brasileira de enfermagem,inżynieria biomedyczna;nauki farmaceutyczne
Revista Brasileira de Engenharia Agricola e Ambiental,Revista Brasileira de Engenharia Agricola e Ambiental,inżynieria mechaniczna;rolnictwo i ogrodnictwo
REVISTA BRASILEIRA DE ENTOMOLOGIA,Revista Brasileira de Entomologia,rolnictwo i ogrodnictwo;nauki biologiczne
Revista Brasileira de Farmacognosia-Brazilian Journal of Pharmacognosy,Brazilian Journal of Pharmacognsosy,nauki farmaceutyczne;rolnictwo i ogrodnictwo
Revista Brasileira de Fruticultura,Revista Brasileira de Fruticultura,rolnictwo i ogrodnictwo;rolnictwo i ogrodnictwo
Revista Brasileira de Futsal e Futebol,,nauki o kulturze fizycznej;nauki o kulturze fizycznej
Revista Brasileira de Geomorfologia,Revista Brasileira de Geomorfologia,"inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki o Ziemi i środowisku"
Revista Brasileira de Ginecologia e Obstetricia,Revista Brasileira de Ginecologia e Obstetricia,inżynieria biomedyczna;nauki medyczne
Revista Brasileira de Historia,Revista Brasileira de Historia,historia;literaturoznawstwo
Revista Brasileira de Historia & Ciencias Sociais,,historia;nauki o kulturze i religii;nauki socjologiczne
Revista Brasileira de Inovacao,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
Revista Brasileira de Marketing,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
Revista Brasileira de Medicina do Esporte,Revista Brasileira de Medicina do Esporte,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o kulturze fizycznej;nauki biologiczne
Revista Brasileira de Ornitologia,Ararajuba,nauki biologiczne;nauki biologiczne
REVISTA BRASILEIRA DE PALEONTOLOGIA,Revista Brasileira de Paleontologia,nauki biologiczne;nauki o Ziemi i środowisku
REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA,Revista brasileira de parasitologia veterinaria = Brazilian journal of veterinary parasitology : Orgao Oficial do Colegio Brasileiro de Parasitologia Veterinaria.,nauki farmaceutyczne;weterynaria
Revista Brasileira de Politica Internacional,Revista Brasileira de Politica Internacional,historia;nauki o kulturze i religii;nauki o polityce i administracji
REVISTA BRASILEIRA DE PSIQUIATRIA,Revista Brasileira de Psiquiatria,nauki medyczne;nauki medyczne
Revista Brasileira De Reumatologia,,inżynieria biomedyczna;nauki medyczne
REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE,Revista Brasileira de Zootecnia,zootechnika i rybactwo;zootechnika i rybactwo
Revista Caatinga,Revista Caatinga,nauki biologiczne;nauki biologiczne
Revista Castellana de Gastroenterologia,,inżynieria biomedyczna;nauki medyczne
Revista Catalana de Dret Public,,nauki prawne;nauki prawne
Revista CES Derecho,,nauki prawne;nauki prawne
Revista CES Psicologia,Revista CES Psicologia,psychologia;psychologia
Revista CES Salud Publica,,nauki medyczne;nauki medyczne
Revista Chapingo Serie Ciencias Forestales y del Ambiente,"Revista Chapingo, Serie Ciencias Forestales y del Ambiente",rolnictwo i ogrodnictwo;rolnictwo i ogrodnictwo
Revista Chilena de Derecho,Revista Chilena de Derecho,nauki prawne;nauki prawne
Revista Chilena de Derecho y Tecnologia,Revista Chilena de Derecho y Tecnologia,nauki prawne;nauki prawne
Revista Chilena de Estudios Medievales,,historia;literaturoznawstwo
REVISTA CHILENA DE HISTORIA NATURAL,Revista Chilena de Historia Natural,"inżynieria biomedyczna;inżynieria środowiska, górnictwo i energetyka;nauki leśne;rolnictwo i ogrodnictwo;technologia żywności i żywienia;weterynaria;zootechnika i rybactwo;nauki biologiczne;nauki o Ziemi i środowisku"
Revista Chilena de Infectologia,Revista chilena de infectologia : organo oficial de la SociedadChilena de Infectologia.,nauki farmaceutyczne;nauki medyczne
REVISTA CHILENA DE LITERATURA,Revista Chilena de Literatura,literaturoznawstwo;literaturoznawstwo
Revista Chilena de Neuropsicologia,,psychologia;psychologia
Revista Chilena de Nutricion,Revista Chilena de Nutricion,nauki farmaceutyczne;rolnictwo i ogrodnictwo;technologia żywności i żywienia
Revista Chilena de Pediatria-Chile,Revista Chilena de Pediatria,nauki medyczne;nauki medyczne
Revista CICAG,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
Revista CIDOB d Afers Internationals,Revista CIDOB d'Afers Internacionals,historia;nauki o bezpieczeństwie;nauki o polityce i administracji
Revista Ciencia Agronomica,Revista Ciencia Agronomica,inżynieria mechaniczna;rolnictwo i ogrodnictwo
Revista Ciencias Administrativas,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
Revista Ciencias Estrategicas,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
Revista Ciencias Pedagogicas e Innovacion,,nauki socjologiczne;pedagogika
Revista Ciencias Sociales y Educacion,,nauki socjologiczne;nauki socjologiczne
Revista Cientifica,,pedagogika;pedagogika
Revista Cientifica da Faculdade de Educacao e Meio Ambiente,,ekonomia i finanse;nauki o bezpieczeństwie;nauki o komunikacji społecznej i mediach;nauki socjologiczne;pedagogika
Revista Cientifica Hermes,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
REVISTA CIENTIFICA-FACULTAD DE CIENCIAS VETERINARIAS,Revista Cientifica de la Facultad de Ciencias Veterinarias de la Universidad del Zulia,weterynaria;zootechnika i rybactwo
Revista Clinica Contemporanea,,nauki farmaceutyczne;nauki farmaceutyczne
REVISTA CLINICA ESPANOLA,Revista Clinica Espanola,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;weterynaria
Revista Colombiana de Bioetica,,filozofia;filozofia
Revista Colombiana de Cancerologia,,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne
Revista Colombiana de Ciencias Pecuarias,Revista Colombiana de Ciencias Pecuarias,nauki leśne;rolnictwo i ogrodnictwo;technologia żywności i żywienia;weterynaria;zootechnika i rybactwo;nauki biologiczne
Revista Colombiana de Ciencias Sociales,,nauki o zarządzaniu i jakości;nauki socjologiczne
REVISTA COLOMBIANA DE ENTOMOLOGIA,Revista Colombiana de Entomologia,rolnictwo i ogrodnictwo;nauki biologiczne
Revista Colombiana de Filosofia de la Ciencia,,filozofia;historia
Revista Colombiana de Investigaciones Agroindustriales,,inżynieria mechaniczna;rolnictwo i ogrodnictwo
Revista Colombiana de las Artes Escenicas,,literaturoznawstwo;nauki o sztuce
Revista Colombiana de Quimica,Revista Colombiana de Quimica,inżynieria biomedyczna;nauki farmaceutyczne;rolnictwo i ogrodnictwo
Revista Colombiana de Sociologia,,nauki o kulturze i religii;nauki socjologiczne
Revista Complutense de Educacion,Revista Complutense de Educacion,nauki o kulturze i religii;nauki o kulturze i religii
Revista Complutense de Historia de America,Revista Complutense de Historia de America,historia;nauki o kulturze i religii
Revista Comunicacao Midiatica,,nauki o kulturze i religii;nauki o komunikacji społecznej i mediach
Revista Comunicacion,,inżynieria biomedyczna;inżynieria biomedyczna
Revista Conrado,,literaturoznawstwo;literaturoznawstwo
Revista Contabilidade e Controladoria-RC C,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
Revista Contemporanea de Educacao,,nauki socjologiczne;pedagogika
Revista Cooperativismo y Desarrollo-COODES,,architektura i urbanistyka;nauki o zarządzaniu i jakości
Revista Costarricense de Psicologia,,psychologia;psychologia
Revista Criminalidad,Revista Criminalidad,historia;nauki o bezpieczeństwie;nauki prawne;nauki socjologiczne
Revista Critica Cultural,,literaturoznawstwo;nauki o kulturze i religii
Revista Critica de Ciencias Sociais,Revista Critica de Ciencias Sociais,nauki o kulturze i religii;nauki o polityce i administracji;nauki o zarządzaniu i jakości;nauki socjologiczne
Revista CS en Ciencias Sociales,,nauki o kulturze i religii;nauki socjologiczne
Revista Cubana de Ciencias Forestales,,nauki leśne;nauki leśne
Revista Cubana de Fisica,Revista Cubana de Fisica,inżynieria biomedyczna;inżynieria mechaniczna;astronomia;nauki fizyczne
Revista Cubana de Ingenieria,,"inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
Revista Cubana de Reumatologia,,inżynieria biomedyczna;nauki medyczne
Revista Cuidarte,,nauki o zdrowiu;nauki o zdrowiu
Revista da Anpoll,,językoznawstwo;literaturoznawstwo
Revista da Associacao Medica Brasileira,Revista da Associacao Medica Brasileira,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;weterynaria
Revista da Escola de Enfermagem da USP,Revista da Escola de Enfermagem da U S P,nauki o zdrowiu;nauki o zdrowiu
Revista da Rede de Enfermagem do Nordeste,,nauki o zdrowiu;nauki o zdrowiu
Revista da Sociedade Brasileira de Medicina Tropical,Revista da Sociedade Brasileira de Medicina Tropical,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki biologiczne
Revista de Agricultura Neotropical,,rolnictwo i ogrodnictwo;rolnictwo i ogrodnictwo
Revista de Antropologia Social,Revista de Antropologia Social,historia;nauki o kulturze i religii;nauki socjologiczne
Revista de Arqueologia Historica Argentina y Latinoamericana,,archeologia;historia
Revista de Arquitectura,,architektura i urbanistyka;architektura i urbanistyka
Revista de Artes Marciales Asiaticas,,nauki o kulturze i religii;nauki o kulturze i religii
REVISTA DE BIOLOGIA MARINA Y OCEANOGRAFIA,Revista de Biologia Marina y Oceanografia,inżynieria lądowa i transport;zootechnika i rybactwo;nauki biologiczne;nauki o Ziemi i środowisku
REVISTA DE BIOLOGIA TROPICAL,Revista de Biologia Tropical,nauki farmaceutyczne;nauki biologiczne
Revista de Calidad Asistencial,,inżynieria biomedyczna;inżynieria biomedyczna
Revista de Cancioneros Impresos y Manuscritos,,historia;literaturoznawstwo
Revista de Cercetare si Interventie Sociala,Revista de Cercetare si Interventie Sociala,nauki o kulturze i religii;nauki socjologiczne
REVISTA DE CHIMIE,Revista de Chimie,"inżynieria biomedyczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;rolnictwo i ogrodnictwo"
Revista de Ciencia Politica,Revista de Ciencia Politica,historia;nauki o kulturze i religii;nauki o polityce i administracji
Revista de Ciencias Agricolas,,rolnictwo i ogrodnictwo;rolnictwo i ogrodnictwo
Revista de Ciencias Humanas da Universidade de Taubate,,nauki o kulturze i religii;nauki socjologiczne
Revista de Ciencias Sociales y Juridicas,,nauki o kulturze i religii;nauki prawne;prawo kanoniczne
Revista de Ciencias Sociales-Costa Rica,,nauki o zarządzaniu i jakości;nauki socjologiczne
Revista de Climatologia,,"inżynieria środowiska, górnictwo i energetyka;nauki o Ziemi i środowisku"
Revista de Comunicacion de la SEECI,,nauki o kulturze i religii;nauki o komunikacji społecznej i mediach;nauki socjologiczne
Revista de Contabilidad-Spanish Accounting Review,Revista de Contabilidad,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
REVISTA DE CRITICA LITERARIA LATINOAMERICANA,,literaturoznawstwo;nauki o kulturze i religii
Revista de Cultura Teologica,,nauki o kulturze i religii;prawo kanoniczne;nauki teologiczne
Revista de Derecho Civil,Revista de Derecho Civil,nauki prawne;nauki prawne
Revista de Derecho Comunitario Europeo,Revista de Derecho Comunitario Europeo,historia;nauki prawne;prawo kanoniczne
Revista de Derecho Politico,Revista de Derecho Politico,nauki o kulturze i religii;nauki o polityce i administracji;nauki prawne
Revista de Derecho Privado,Revista de Derecho Privado,nauki prawne;nauki prawne
REVISTA DE DIALECTOLOGIA Y TRADICIONES POPULARES,Revista de Dialectologia y Tradiciones Populares,językoznawstwo;nauki o kulturze i religii;nauki socjologiczne
Revista de Direito da Cidade-City Law,,architektura i urbanistyka;geografia społeczno-ekonomiczna i gospodarka przestrzenna
Revista de Direito Sanitario-Journal of Health Law,,nauki prawne;nauki prawne
Revista de Economia Aplicada,Revista de Economia Aplicada,nauki o kulturze i religii;nauki o zarządzaniu i jakości
Revista de Economia Mundial,Revista de Economia Mundial,historia;inżynieria lądowa i transport;ekonomia i finanse;nauki o zarządzaniu i jakości
Revista de Educacion,Revista de Educacion,nauki o kulturze i religii;nauki o kulturze i religii
Revista de Educacion Inclusiva,,nauki o kulturze i religii;nauki o kulturze i religii
Revista de Ensino de Bioquimica,,pedagogika;pedagogika
Revista de Epidemiologia e Controle de Infeccao,,nauki medyczne;weterynaria;nauki biologiczne
Revista de Estudios Andaluces,,nauki o kulturze i religii;nauki o polityce i administracji
Revista de Estudios Empresariales-Segunda Epoca,,ekonomia i finanse;nauki o zarządzaniu i jakości
REVISTA DE ESTUDIOS HISPANICOS,Revista de Estudios Hispanicos,literaturoznawstwo;nauki o kulturze i religii;nauki o sztuce
Revista de Estudios Internacionales Mediterraneos,Revista de Estudios Internacionales Mediterraneos,nauki o kulturze i religii;nauki o polityce i administracji;nauki socjologiczne;prawo kanoniczne
Revista de Estudios Latinos,,językoznawstwo;literaturoznawstwo
Revista de Estudios Politicos,Revista de Estudios Politicos,historia;nauki o kulturze i religii;nauki o bezpieczeństwie;nauki o polityce i administracji;nauki socjologiczne
Revista de Estudios Politicos y Estrategicos,,nauki o kulturze i religii;nauki o zarządzaniu i jakości
Revista de Estudios Regionales,Revista de Estudios Regionales,nauki o kulturze i religii;architektura i urbanistyka;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki o bezpieczeństwie;nauki o polityce i administracji;nauki socjologiczne
Revista de Estudios Sociales,Revista de Estudios Sociales,historia;nauki o kulturze i religii;nauki o polityce i administracji;nauki o zarządzaniu i jakości;nauki socjologiczne
Revista de Estudos da Linguagem,,językoznawstwo;językoznawstwo
Revista de Etnografie si Folclor-Journal of Ethnography and Folklore,,literaturoznawstwo;nauki o kulturze i religii;nauki socjologiczne
Revista de Evaluacion de Programas y Politicas Publicas,,nauki o kulturze i religii;nauki o polityce i administracji
Revista de Filologia Alemana,Revista de Filologia Alemana,językoznawstwo;literaturoznawstwo
Revista de Filologia de la Universidad de la Laguna,,językoznawstwo;literaturoznawstwo
REVISTA DE FILOLOGIA ESPANOLA,Revista de Filologia Espanola,językoznawstwo;literaturoznawstwo
Revista de Filosofia,Revista de Filosofia (Chile),filozofia;nauki o kulturze i religii
Revista de Filosofia Aurora,Revista de Filosofia: Aurora,filozofia;literaturoznawstwo
Revista de Filosofia UIS,,filozofia;literaturoznawstwo
Revista de Filosofia y Teoria Politica,,filozofia;nauki o kulturze i religii;nauki prawne
Revista de Filosofia-Madrid,Revista de Filosofia (Spain),filozofia;literaturoznawstwo
Revista de Gastroenterologia de Mexico,Revista de Gastroenterologia de Mexico,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
Revista de Geografia Norte Grande,Revista de Geografia Norte Grande,inżynieria lądowa i transport;geografia społeczno-ekonomiczna i gospodarka przestrzenna
Revista de Gestao Ambiental e Sustentabilidade-GeAS,,architektura i urbanistyka;rolnictwo i ogrodnictwo
Revista de Gestao e Projetos,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
Revista de Gestao e Secretariado-GeSeC,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
Revista de Gestao em Sistemas de Saude-RGSS,,nauki o kulturze fizycznej;nauki o zdrowiu
Revista de Gestao Financas e Contabilidade,,ekonomia i finanse;nauki o zarządzaniu i jakości
