Title1,Title2,DisciplineIdsString
KYBERNETES,Kybernetes,202 203 204 206 209 503 506 508 602
KYBERNETIKA,Kybernetika,202 203 204 503 506 602
Kyiv-Mohyla Humanities Journal,,103 105 106 508 701
KYKLOS,Kyklos,103 201 501 502 506 508
Kyoto Journal of Mathematics,,603
Kyungpook Mathematical Journal,Kyungpook Mathematical Journal,603
Kyushu Journal of Mathematics,Kyushu Journal of Mathematics,603
L1 Educational Studies in Language and Literature,L1-Educational Studies in Language and Literature,104 105
LAB ANIMAL,Lab Animal,404 405 604
LAB ON A CHIP,Lab on a Chip - Miniaturisation for Chemistry and Biology,202 204 207 301 302 401 402 604 605
LABOR HISTORY,Labor History,103 106 501 506
Laboratoire Italien-Politique et Societe,,103 505
Laboratorio de Arte,,107 201
Laboratorium-Russian Review of Social Research,Laboratorium,106 505 506
Journal of Laboratory Medicine,Laboratoriums Medizin,204 301 302
LABORATORY ANIMALS,Laboratory Animals,204 404 405 604
LABORATORY INVESTIGATION,Laboratory Investigation,204 301 302 604
LABORATORY MEDICINE,Laboratory Medicine,204 301 302
Laboratory Phonology,,104
LaborHistorico,,104
Labor-Studies in Working-Class History of the Americas,,103 501 506
Labour & Industry-A Journal of the Social and Economic Relations of Work,,501 506 508
LABOUR ECONOMICS,Labour Economics,501 502 506 508
Labour History,Labour History,103 501 506
Labour History Review,Labour History Review,103 506 508
Labour-England,Labour,103 501 502 506
LABOUR-LE TRAVAIL,Labour/Le Travail,103 506
Laeknabladid,Laeknabladid,204 301 302
LAKE AND RESERVOIR MANAGEMENT,Lake and Reservoir Management,201 209 604 607
LANCET,The Lancet,204 301 302 304 604
Lancet Child & Adolescent Health,The Lancet Child and Adolescent Health,302 304
Lancet Diabetes & Endocrinology,The Lancet Diabetes and Endocrinology,204 301 302 304 604
Lancet Gastroenterology & Hepatology,The Lancet Gastroenterology and Hepatology,204 302 304
Lancet Global Health,The Lancet Global Health,204 301 302 304
Lancet Haematology,The Lancet Haematology,204 301 302 304 604
Lancet HIV,The Lancet HIV,204 301 302 304 604
LANCET INFECTIOUS DISEASES,The Lancet Infectious Diseases,302 304 604
LANCET NEUROLOGY,The Lancet Neurology,204 302 304 604
LANCET ONCOLOGY,The Lancet Oncology,204 301 302 304 604
Lancet Psychiatry,The Lancet Psychiatry,301 302 304 604
Lancet Public Health,The Lancet Public Health,301 302 304
Lancet Respiratory Medicine,The Lancet Respiratory Medicine,204 301 302 304
Land,Land,201 206 209 402 502 604 607
LAND DEGRADATION & DEVELOPMENT,Land Degradation and Development,201 209 401 402 502 506 508 604 605 607
LAND ECONOMICS,Land Economics,106 201 209 401 501 502 506
LAND USE POLICY,Land Use Policy,106 201 206 209 401 502 506 508
Landbauforschung,Landbauforschung Volkenrode,402
LANDFALL,Landfall,105
Landscape and Ecological Engineering,Landscape and Ecological Engineering,201 206 209 401 402 503 604 607
LANDSCAPE AND URBAN PLANNING,Landscape and Urban Planning,106 201 206 209 401 402 502 506 508
Landscape Architecture and Art,Landscape Architecture and Art,106 107 201 402 502
Landscape Architecture Frontiers,,201 402
Landscape Architecture Magazine,,201
LANDSCAPE ECOLOGY,Landscape Ecology,106 201 206 209 401 402 502 604
Landscape Journal,Landscape Journal,201 209 401 402 502 607
Landscape Research,Landscape Research,201 206 209 401 402 502 506 604 607
Landslides,Landslides,206 209 607
Langages,Langages,104
LANGENBECKS ARCHIVES OF SURGERY,Langenbeck's Archives of Surgery,204 302 304
LANGMUIR,Langmuir,202 204 205 207 208 301 401 402 403 605 606
LANGUAGE,Language,104
LANGUAGE & COMMUNICATION,Language and Communication,104 106 504 508 509 604
Language & History,Language and History,103 104
Language Acquisition,Language Acquisition,104 106
Language and Cognition,,104 511
Language and Dialogue,Language and Dialogue,104 106 508 509
Language and Education,Language and Education,104 509
Language and Intercultural Communication,Language and Intercultural Communication,104 504 508 509
Language and Linguistics,Language and Linguistics,104 203
Language and Linguistics Compass,Linguistics and Language Compass,104
Language and Literacy,,105 508 509
Language and Literature,Language and Literature,104 105
Language and Psychoanalysis,,511
Language and Sociocultural Theory,Language and Sociocultural Theory,104 106 508
LANGUAGE AND SPEECH,Language and Speech,104 204 302 304 509 604
Language Assessment Quarterly,Language Assessment Quarterly,104
Language Awareness,Language Awareness,104
Language Cognition and Neuroscience,"Language, Cognition and Neuroscience",104 204 301 302 304 511 604
Language Culture and Curriculum,"Language, Culture and Curriculum",104 106 201 508 509
Language Documentation & Conservation,Language Documentation and Conservation,104 203 204 504
Language Dynamics and Change,Language Dynamics and Change,104
LANGUAGE IN SOCIETY,Language in Society,104 106 508 509
LANGUAGE LEARNING,Language Learning,104 509
LANGUAGE LEARNING & TECHNOLOGY,Language Learning and Technology,104 203 204 509
Language Learning and Development,Language Learning and Development,104 509
Language Learning in Higher Education,Language Learning in Higher Education,104
Language Learning Journal,Language Learning Journal,104 509
Language Matters,Language Matters,104
Language Policy,Language Policy,104 508
Language Problems & Language Planning,Language Problems and Language Planning,104 504 508
Language Resources and Evaluation,Language Resources and Evaluation,104 203 204 504
LANGUAGE SCIENCES,Language Sciences,104
LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS,"Language, Speech, and Hearing Services in Schools",104 204 302 304 509
Language Teaching,Language Teaching,104
Language Teaching Research,Language Teaching Research,104 509
Language Testing,Language Testing,104 304 511
Language Variation and Change,Language Variation and Change,104 106
Languages in Contrast,Languages in Contrast,104
LANGUE FRANCAISE,Langue Francaise,104
Lanx-Journal of the Scuola di Specializzazione in Archeologia of the University of Milan,,101
Laplage em Revista,,201
Lares-Quadrimestrale di Studi Demoetnoantropologici,,103 106 508
Large Animal Review,Large Animal Review,404 405
LARYNGO-RHINO-OTOLOGIE,Laryngo- Rhino- Otologie,302 304
LARYNGOSCOPE,Laryngoscope,204 301 302 304
Laryngoscope Investigative Otolaryngology,,302 304
Laser & Photonics Reviews,Laser and Photonics Reviews,202 204 207 301 606
LASER AND PARTICLE BEAMS,Laser and Particle Beams,202 204 208 606
LASER FOCUS WORLD,,202 204 208 606
LASER PHYSICS,Laser Physics,202 204 207 301 601 606
LASER PHYSICS LETTERS,Laser Physics Letters,202 204 207 301 601 606
LASERS IN ENGINEERING,Lasers in Engineering,202 204 207 208 301 606
LASERS IN MEDICAL SCIENCE,Lasers in Medical Science,202 204 301 302 304 404
LASERS IN SURGERY AND MEDICINE,Lasers in Surgery and Medicine,202 204 301 302 304 404
LATE IMPERIAL CHINA,Late imperial China = Ch'ing shih wen t'i,103 106
LATERALITY,Laterality,204 301 302 304 509 511 604
LATIN AMERICAN ANTIQUITY,Latin American Antiquity,101 103 201
LATIN AMERICAN APPLIED RESEARCH,,204 301
Latin American Economic Review,Latin American Economic Review,501 502 506
LATIN AMERICAN INDIAN LITERATURES JOURNAL,,105
Latin American Journal of Aquatic Research,Latin American Journal of Aquatic Research,206 404 405 604 607
Latin American Journal of Content & Language Integrated-LACLIL,,508 509
Latin American Journal of Pharmacy,Latin American Journal of Pharmacy,301
Latin American Journal of Solids and Structures,Latin American Journal of Solids and Structures,204 206 207 208 605 606
LATIN AMERICAN MUSIC REVIEW-REVISTA DE MUSICA LATINOAMERICANA,,106 107
LATIN AMERICAN PERSPECTIVES,Latin American Perspectives,103 106 502 505 508
Latin American Policy,Latin American Policy,103 505 508
LATIN AMERICAN POLITICS AND SOCIETY,Latin American Politics and Society,103 106 502 505 508
LATIN AMERICAN RESEARCH REVIEW,Latin American Research Review,101 103 105 106 204 206 207 208 301 302 501 502 505 506 507 508 606 607
LATIN AMERICAN THEATRE REVIEW,Latin American Theatre Review,105 106 107
Latin Americanist,,103 105 106 508
Latino Studies,Latino Studies,103 106 505 508
LATOMUS,Latomus,101 103 104 105
Latvian Journal of Physics and Technical Sciences,Latvian Journal of Physics and Technical Sciences,202 204 206 208 601 606
LAVAL THEOLOGIQUE ET PHILOSOPHIQUE,Laval Theologique et Philosophique,102 106 510 701
Law & Literature,Law and Literature,105 507
Law & Policy,Law and Policy,503 505 507 508
Law & Practice of International Courts and Tribunals,Law and Practice of International Courts and Tribunals,503 507 510
LAW & SOCIETY REVIEW,Law and Society Review,106 503 505 507 508
LAW AND CRITIQUE,Law and Critique,503 507
Law and Development Review,Law and Development Review,501 502 503 506 507 508
Law and Financial Markets Review,Law and Financial Markets Review,501 503 507
Law and History Review,Law and History Review,103 507
LAW AND HUMAN BEHAVIOR,Law and Human Behavior,302 503 507 508 511
Law and Humanities,Law and Humanities,103 106 507 508 510
LAW AND PHILOSOPHY,Law and Philosophy,102 507 510
LAW AND SOCIAL INQUIRY-JOURNAL OF THE AMERICAN BAR FOUNDATION,Law and Social Inquiry,506 507 508
Law Culture and the Humanities,"Law, Culture and the Humanities",102 103 105 106 201 507 508
LAW LIBRARY JOURNAL,Law Library Journal,504 507
LAW PROBABILITY & RISK,"Law, Probability and Risk",102 203 503 506 507
Law Teacher,Law Teacher,507 510
Law Text Culture,,105 106
LC GC EUROPE,LC-GC Europe,301 403 605
LC GC NORTH AMERICA,LC-GC North America,301 605
Leadership,Leadership,503 505 506
LEADERSHIP & ORGANIZATION DEVELOPMENT JOURNAL,Leadership and Organization Development Journal,503 506
Leadership and Policy in Schools,Leadership and Policy in Schools,506 508 509
Leadership and the Humanities,,506
Leadership in Health Services,Leadership in Health Services,302 304 506
LEADERSHIP QUARTERLY,Leadership Quarterly,106 303 505 506
LEA-Lingue e Letterature d Oriente e d Occidente,,104 105
LEARNED PUBLISHING,Learned Publishing,504 506
LEARNING & BEHAVIOR,Learning and Behavior,203 204 301 302 304 509 511 604
LEARNING & MEMORY,Learning and Memory,203 204 301 302 304 511 604
LEARNING AND INDIVIDUAL DIFFERENCES,Learning and Individual Differences,508 509 511
LEARNING AND INSTRUCTION,Learning and Instruction,509
LEARNING AND MOTIVATION,Learning and Motivation,301 304 509 511 604
Learning and Teaching in Higher Education-Gulf Perspectives,,106 509
Learning and Teaching-The International Journal of Higher Education in the Social Sciences,Learning and Teaching,503 509
Learning Communities-International Journal of Learning in Social Contexts,,508 509
Learning Culture and Social Interaction,"Learning, Culture and Social Interaction",106 201 508 509
Learning Disabilities Research & Practice,Learning Disabilities Research and Practice,204 301 302 304 509 511
Learning Disabilities-A Multidisciplinary Journal,,304 509
LEARNING DISABILITY QUARTERLY,Learning Disability Quarterly,106 204 302 303 304 509 604
LEARNing Landscapes,,201 509
Learning Media and Technology,"Learning, Media and Technology",106 203 509
Learning Organization,Learning Organization,506
Lebenswelt-Aesthetics and Philosophy of Experience,,102
Lectora-Revista de Dones i Textualitat,Lectora,102 105 106
Led i Sneg-Ice and Snow,Led i Sneg,206 209 607
LEGACY,Legacy,106
Legajos-Boletin del Archivo General de la Nacion,,103
LEGAL AND CRIMINOLOGICAL PSYCHOLOGY,Legal and Criminological Psychology,302 503 507 511
Legal Education Review,,508 509
Legal Ethics,,507 510
Legal Information Management,,507
Legal Issues of Economic Integration,Legal Issues of Economic Integration,501 507
Legal Medicine,Legal Medicine,302 507
Legal Studies,Legal Studies,503 507
Legal Theory,Legal Theory,102 503 507
Lege Artis-Language Yesterday Today Tomorrow,,104
Legenda,,105
LEGISLATIVE STUDIES QUARTERLY,Legislative Studies Quarterly,103 508
Legume Research,Legume Research,402 604
Leiden Journal of International Law,Leiden Journal of International Law,503 507
LEISURE SCIENCES,Leisure Sciences,106 303 502 506 508
Leisure Studies,Leisure Studies,106 201 303 502 506 508
Lengua y Habla,Lengua y Habla,104
Lengua y Migracion-Language and Migration,Lengua y Migracion,104 501 502 508
Lenguaje y Textos,,104
LEONARDO,Leonardo,102 106 107 201 203 206 508
LEONARDO MUSIC JOURNAL,Leonardo Music Journal,106 107 203 206
LEPROSY REVIEW,Leprosy Review,204 301 302 604
LETHAIA,Lethaia,402 604 607
Letras,,104 105
Letras de Hoje-Estudos e Debates em Linguistica Literatura e Lingua Portuguesa,,105
Letras Verdes,,201 209
LETTERE ITALIANE,Lettere Italiane,105
LETTERS IN APPLIED MICROBIOLOGY,Letters in Applied Microbiology,204 205 301 302 401 402 403 404 604
Letters in Drug Design & Discovery,Letters in Drug Design and Discovery,204 301 302 604 605
LETTERS IN MATHEMATICAL PHYSICS,Letters in Mathematical Physics,603 606
LETTERS IN ORGANIC CHEMISTRY,Letters in Organic Chemistry,204 205 209 301 604 605
Letters in Spatial and Resource Science,Letters in Spatial and Resource Sciences,201 209 501 502 506
Letters on Materials,Letters on Materials,204 205 207 208 301 605 606
LEUKEMIA,Leukemia,204 301 302 304 604
LEUKEMIA & LYMPHOMA,Leukemia and Lymphoma,204 301 302 304 404 604
LEUKEMIA RESEARCH,Leukemia Research,204 301 302 304 404 604 605
Leukos,LEUKOS - Journal of Illuminating Engineering Society of North America,201 202 206 606
Levant,Levant,101 103 201 701
Leviathan-A Journal of Melville Studies,Leviathan,105
Lex Humana,,507 510
Lex Localis-Journal of Local Self-Government,Lex Localis,503 505 506 507 510
Lexikos,Lexikos,104
LFE-Revista de Lenguas para Fines Especificos,,104
LGBT Health,LGBT Health,204 301 302 304
LIAS-Journal of Early Modern Intellectual Culture and its Sources,Lias,103 105 106
Liberabit-Revista de Psicologia,,511
LIBERTE,Liberte,102 105 106 505
LIBRARY,Library,103 106 107 504
Library & Information History,Library and Information History,103 504
LIBRARY & INFORMATION SCIENCE RESEARCH,Library and Information Science Research,106 203 504
LIBRARY AND INFORMATION SCIENCE,Library and Information Science,504
LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES,"Library Collections, Acquisition and Technical Services",203 504
LIBRARY HI TECH,Library Hi Tech,203 504
LIBRARY JOURNAL,Library Journal,504
Library Management,Library Management,504 506
LIBRARY QUARTERLY,Library Quarterly,504
LIBRARY RESOURCES & TECHNICAL SERVICES,Library Resources and Technical Services,203 504 506
LIBRARY TRENDS,Library Trends,504
Libres-Library and Information Science Research Electronic Journal,Libres,504
LIBRI,Libri,504
Libri & Liberi,Libri et Liberi,105 106
Libros de la Corte,,103 105 107
Libyan Journal of Medicine,Libyan Journal of Medicine,204 301 302 304
LICHENOLOGIST,Lichenologist,209 301 401 402 604
LIED UND POPULARE KULTUR-SONG AND POPULAR CULTURE,,105 106 107 508
LIFE SCIENCES,Life Sciences,204 301 302 304 402 403 404 604 605
Life Sciences in Space Research,Life Sciences in Space Research,201 202 204 206 207 301 302 402 502 506 507 601 604
Life Span and Disability,Life Span and Disability,204 301 302 304 508 509 511
Life Writing,Life Writing,105 106 508
LIFETIME DATA ANALYSIS,Lifetime Data Analysis,203 204 208 301 304 404 506 508
Light & Engineering,Light and Engineering,201 202
Lighting Research & Technology,Lighting Research and Technology,201 202 206 606
Light-Science & Applications,Light: Science and Applications,202 204 207 605 606
LILI-ZEITSCHRIFT FUR LITERATURWISSENSCHAFT UND LINGUISTIK,Lili - Zeitschrift fur Literaturwissenschaft und Linguistik,104 105
Limite-Revista de Estudios Portugueses y de la Lusofonia,,105
Limite-Revista de Filosofia y Psicologia,,102
LIMNETICA,Limnetica,209 604 607
LIMNOLOGICA,Limnologica,209 404 604
LIMNOLOGY,Limnology,209 405 604 607
LIMNOLOGY AND OCEANOGRAPHY,Limnology and Oceanography,206 209 604 607
LIMNOLOGY AND OCEANOGRAPHY-METHODS,Limnology and Oceanography: Methods,209 604 607
Linacre Quarterly,Linacre Quarterly,102 302
LINEAR & MULTILINEAR ALGEBRA,Linear and Multilinear Algebra,603
LINEAR ALGEBRA AND ITS APPLICATIONS,Linear Algebra and Its Applications,202 603
LINGUA,Lingua,104
LINGUA E STILE,Lingua e Stile,104
Lingua Montenegrina,,104
LINGUA NOSTRA,Lingua Nostra,104
Linguae &-Rivista di Lingue e Culture Moderne,,104 105
Linguagem-Estudos e Pesquisas,,104
Linguamatica,Linguamatica,104
Linguas & Letras,,104 105
Linguas e Instrumentos Linguisticos,,104
Lingue Antiche e Moderne,,104
Lingue e Linguaggio,Lingue e Linguaggio,104
Linguistic Approaches to Bilingualism,Linguistic Approaches to Bilingualism,104 509
LINGUISTIC INQUIRY,Linguistic Inquiry,104
Linguistic Research,Linguistic Research,104
LINGUISTIC REVIEW,Linguistic Review,104 203
Linguistic Typology,Linguistic Typology,104
Linguistic Variation,Linguistic Variation,104
Linguistica Antverpiensia New Series-Themes in Translation Studies,Linguistica Antverpiensia,104
Linguistica e Filologia,,104 105
Linguistica Pragensia,Linguistica Pragensia,104
Linguistica y Literatura,,104 105
Linguisticae Investigationes,Lingvisticae Investigationes,104
LINGUISTICS,Linguistics,104 203
Linguistics and Education,Linguistics and Education,104 509
LINGUISTICS AND PHILOSOPHY,Linguistics and Philosophy,102 104
Linguistics and the Human Sciences,,104 509
Linguistics of the Tibeto-Burman Area,Linguistics of the Tibeto-Burman Area,104
Linguistics Vanguard,Linguistics Vanguard,104
LINGUISTIQUE,La Linguistique,104
Linha d Agua,,104 105
Lino - Revista Anual de Historia del Arte,Lino,106 107 201
LION AND THE UNICORN,Lion and the Unicorn,105
LIPIDS,Lipids,204 209 301 302 304 403 404 604 605
Lipids in Health and Disease,Lipids in Health and Disease,204 301 302 304 404 604 605
LIQUID CRYSTALS,Liquid Crystals,204 207 208 301 605 606
Liquid Crystals and their Application,Zhidkie Kristally i Ikh Prakticheskoe Ispol'zovanie,204 207 208 301 606
Liquid Crystals Reviews,Liquid Crystals Reviews,204 207 208 301 605 606
Liquid Crystals Today,Liquid Crystals Today,204 207 208 301 605 606
LISTY CUKROVARNICKE A REPARSKE,Listy Cukrovarnicke a Reparske,402 403
Listy Filologicke,Listy Filologicke,101 104 105
Literacy,Literacy,104 105 508 509
Literacy and Numeracy Studies,,106 508
Literacy Research and Instruction,Literacy Research and Instruction,104 105 508 509 604
Literary Imagination,Literary Imagination,105
Literary Journalism Studies,,105
LITERARY REVIEW,Literary Review,105
Literary Voice,,105
Literator-Journal of Literary Criticism Comparative Linguistics and Literary Studies,Literator,104 105
LITERATUR UND KRITIK,Literatur und Kritik,105
Literatura e Autoritarismo,,105
Literatura e Sociedade,,105
Literatura-Teoria Historia Critica,,105
LITERATURE & HISTORY-THIRD SERIES,Literature and History,103 105
Literature and Aesthetics,,102 105
LITERATURE AND MEDICINE,Literature and medicine,105 301 508
Literature and Theology,Literature and Theology,105 106 701
Literature Compass,,105
Lithic Technology,Lithic Technology,101 106
LITHOLOGY AND MINERAL RESOURCES,Lithology and Mineral Resources,209 607
LITHOS,Lithos,206 402 607
Lithosphere,Lithosphere,206 607
Lithuanian Journal of Physics,Lithuanian Journal of Physics,204 601 606
Lithuanian Mathematical Journal,Lithuanian Mathematical Journal,603
LIT-Literature Interpretation Theory,LIT Literature Interpretation Theory,105
LITTERATURE,Litterature,105
LITTERATURES,,105
Liturgy,Liturgy,510 701
Liver Cancer,Liver Cancer,204 301 302 304 604
LIVER INTERNATIONAL,Liver International,204 302 304
LIVER TRANSPLANTATION,Liver Transplantation,204 302
Liverpool Law Review,Liverpool Law Review,503 507
Livestock Science,Livestock Science,401 403 404 405
Living Reviews in Relativity,Living Reviews in Relativity,601 606
Living Reviews in Solar Physics,Living Reviews in Solar Physics,601 606
Ljetopis Socijalnog Rada,Ljetopis Socijalnog Rada,201 508
Llengua & Literatura,,104 105
Llengua Societat i Comunicacio,,104
LMS Journal of Computation and Mathematics,LMS Journal of Computation and Mathematics,203 603
Lobachevskii Journal of Mathematics,Lobachevskii Journal of Mathematics,603
Local and Regional Anesthesia,Local and Regional Anesthesia,204 301 302 304
Local Economy,Local Economy,501 502 506
Local Environment,Local Environment,201 209 402 502 506 508
LOCAL GOVERNMENT STUDIES,Local Government Studies,201 502 503 505 506 508
Locale-The Australian-Pacific Journal of Regional Food Studies,,403
LogForum,,206 503 506
Loggia Arquitectura & Restauracion,,201
Logic and Logical Philosophy,Logic and Logical Philosophy,102
LOGIC JOURNAL OF THE IGPL,Logic Journal of the IGPL,102 203 602 603
Logica Universalis,Logica Universalis,102 603
Logical Methods in Computer Science,Logical Methods in Computer Science,102 203 204 602 603
Logique et Analyse,Logique et Analyse,102
Logopedics Phoniatrics Vocology,Logopedics Phoniatrics Vocology,204 302 304 509
Logos,Logos (Russian Federation),102 105 106
Logos & Pneuma-Chinese Journal of Theology,Logos and Pneuma - Chinese Journal of Theology,701
Logos Ciencia & Tecnologia,,503
LOGOS-A JOURNAL OF CATHOLIC THOUGHT AND CULTURE,Logos - Journal of Catholic Thought and Culture,102 505 508 701
Logos-Anales del Seminario de Metafisica,Logos (Spain),102
Logos-Journal of the World Publishing Community,Logos (Netherlands),105 106 504
Logos-Revista de Linguistica Filosofia y Literatura,,102 104 105
Logos-Vilnius,Logos (Lithuania),102 106
LOISIR & SOCIETE-SOCIETY AND LEISURE,Loisir et Societe,106 207 502 506 508
London Journal,London Journal,103 105 106 503 506 508
London Journal of Primary Care,London Journal of Primary Care,301 302 304 503
London Review of Education,London Review of Education,508 509
London Review of International Law,,503 507
LONG RANGE PLANNING,Long Range Planning,201 502 503 506
Longitudinal and Life Course Studies,Longitudinal and Life Course Studies,301 302 304 501 506 508 509
Loquens,Loquens,104 204 302
LOTUS INTERNATIONAL,,201
Louvain Studies,Louvain Studies,102 106 510 701
LOW TEMPERATURE PHYSICS,Low Temperature Physics,209 601 606
Lubricants,Lubricants,204 206 207 208
Lubrication Science,Lubrication Science,204 205 207 208 605
Lucentum,Lucentum,101 103 201
Lumen-Eighteenth-Century Studies-d Etude du Dix-Huitieme,,105 201
LUMINESCENCE,Luminescence,204 301 402 403 604 605 606
LUNG,Lung,204 302 304
LUNG CANCER,Lung Cancer,204 301 302 604
Lung Cancer Management,,204 302
Lung Cancer-Targets and Therapy,Lung Cancer: Targets and Therapy,204 301 302 304 604
Lung India,Lung India,204 302
LUPUS,Lupus,204 302 304
Lupus Science & Medicine,Lupus Science and Medicine,204 301 302 304 404 604
Luso-Brazilian Review,Luso-Brazilian Review,103 104 105 106 508
LUTS-Lower Urinary Tract Symptoms,LUTS: Lower Urinary Tract Symptoms,204 301 302
Luxury-History Culture Consumption,,103 105 106 506 508
Luz,,508 509
LWT-FOOD SCIENCE AND TECHNOLOGY,LWT - Food Science and Technology,208 301 402 403 605
Lymphatic Research and Biology,Lymphatic Research and Biology,204 301 302 303 604
LYMPHOLOGY,Lymphology,204 301 302 604
M S-MEDECINE SCIENCES,Medecine/sciences,204 301 302 402 604 605
M&SOM-Manufacturing & Service Operations Management,Manufacturing and Service Operations Management,203 208 503 506
M+A-Revista Electronica de Medio Ambiente,,201
mAbs,mAbs,204 301 302 404 604
Macedonian Journal of Chemistry and Chemical Engineering,Macedonian Journal of Chemistry and Chemical Engineering,204 209 301
MACHINE LEARNING,Machine Learning,202 203 204 506 509 602
MACHINE TRANSLATION,Machine Translation,104 203 204 602
MACHINE VISION AND APPLICATIONS,Machine Vision and Applications,201 202 203 204 208 602
Machines,Machines,204 206 207 208 503
MACHINING SCIENCE AND TECHNOLOGY,Machining Science and Technology,204 206 207 208 301 605
Macquarie Law Journal,,507
MACROECONOMIC DYNAMICS,Macroeconomic Dynamics,501 506
Macroeconomics and Finance in Emerging Market Economies,Macroeconomics and Finance in Emerging Market Economies,501 506
Macroheterocycles,Macroheterocycles,209 301 402 605
MACROMOLECULAR BIOSCIENCE,Macromolecular Bioscience,204 205 207 301 302 403 604 605
MACROMOLECULAR CHEMISTRY AND PHYSICS,Macromolecular Chemistry and Physics,204 205 207 301 401 605 606
MACROMOLECULAR MATERIALS AND ENGINEERING,Macromolecular Materials and Engineering,204 205 207 208 301 605
MACROMOLECULAR RAPID COMMUNICATIONS,Macromolecular Rapid Communications,204 205 207 301 403 605
Macromolecular Reaction Engineering,Macromolecular Reaction Engineering,204 205 207 301 605
MACROMOLECULAR RESEARCH,Macromolecular Research,204 205 207 301 403 605
MACROMOLECULAR THEORY AND SIMULATIONS,Macromolecular Theory and Simulations,204 205 207 209 301 605
MACROMOLECULES,Macromolecules,204 205 207 301 401 403 605
Madera y Bosques,Madera Bosques,401 404
Maderas-Ciencia y Tecnologia,Maderas: Ciencia y Tecnologia,202 204 207 208 209 301 401 606
Madrygal-Revista de Estudios Gallegos,,105
Maejo International Journal of Science and Technology,Maejo International Journal of Science and Technology,201 204 206 207 208 209 301 302 402 506 507 601 603 606 607
Magallania,Magallania,103 505
Magallanica-Revista de Historia Moderna,,103
MAGAZINE ANTIQUES,Magazine Antiques,105 106 107 201
Magazine of Civil Engineering,Magazine of Civil Engineering,201 206 209
MAGAZINE OF CONCRETE RESEARCH,Magazine of Concrete Research,201 206 207 209 301 605
Magic Ritual and Witchcraft,"Magic, Ritual, and Witchcraft",106 508
Magis-Revista Internacional de Investigacion en Educacion,Magis,105 508
MAGNESIUM RESEARCH,Magnesium Research,204 301 302 604 605
MAGNETIC RESONANCE IMAGING,Magnetic Resonance Imaging,202 203 204 207 301 302 304 401 604 606
Magnetic Resonance Imaging Clinics of North America,Magnetic Resonance Imaging Clinics of North America,204 302 304
MAGNETIC RESONANCE IN CHEMISTRY,Magnetic Resonance in Chemistry,202 204 207 301 302 401 605
Magnetic Resonance in Medical Sciences,Magnetic Resonance in Medical Sciences,204 302 304
MAGNETIC RESONANCE IN MEDICINE,Magnetic Resonance in Medicine,204 302 304
Magnetic Resonance in Solids,Magnetic Resonance in Solids,202 204 207 208 301 302 605 606
Magnetic Resonance Insights,,204 302
MAGNETIC RESONANCE MATERIALS IN PHYSICS BIOLOGY AND MEDICINE,"Magnetic Resonance Materials in Physics, Biology, and Medicine",204 301 302 304 604 606
Magnetochemistry,,205 207 301 605
Magnetohydrodynamics,Magnetohydrodynamics,204 205 207 208 601 606
Magnificat Cultura i Literatura Medievals,Magnificat Cultura i Literatura Medievals,103 105 701
MAGYAR ALLATORVOSOK LAPJA,Magyar Allatorvosok Lapja,404
MAIA-RIVISTA DI LETTERATURE CLASSICHE,MAIA-Rivista di Letterature Classiche,103 105
MAIN GROUP CHEMISTRY,Main Group Chemistry,204 205 207 209 301 605
MAIN GROUP METAL CHEMISTRY,Main Group Metal Chemistry,204 207 208 209 301 605
Majalah Kedokteran Bandung-MKB-Bandung Medical Journal,,204 302
Makara Hubs-Asia,,508
Makara Journal of Health Research,,204 302 304
Makara Journal of Science,,204 206 207 208 209 302 402 507 606
MALACOLOGIA,,405 604
MALARIA JOURNAL,Malaria Journal,301 302 604
Malawi Medical Journal,Malawi Medical Journal,204 301 302
Malaysian Journal of Computer Science,Malaysian Journal of Computer Science,203 204 602
Malaysian Journal of Economic Studies,Malaysian Journal of Economic Studies,501 502 506
Malaysian Journal of ELT Research,,508 509
Malaysian Journal of Fundamental and Applied Sciences,,204 206 207 209 302 402 507 601 603 606
Malaysian Journal of Learning & Instruction,Malaysian Journal of Learning and Instruction,508 509
Malaysian Journal of Library & Information Science,Malaysian Journal of Library and Information Science,504 506
Malaysian Journal of Mathematical Sciences,Malaysian Journal of Mathematical Sciences,603
Malaysian Journal of Medical Sciences,Malaysian Journal of Medical Sciences,204 301 302 304
Malaysian Journal of Microbiology,Malaysian Journal of Microbiology,301 302 604
Malaysian Journal of Pathology,The Malaysian journal of pathology,204 301 302 404 604
Malaysian Journal of Soil Science,Malaysian Journal of Soil Science,209 402
Malaysian Music Journal,Malaysian Music Journal,106 107
Malaysian Orthopaedic Journal,Malaysian Orthopaedic Journal,204 302
Maliye Dergisi,,501 506
Mammal Research,Mammal Research,401 405 604
MAMMAL REVIEW,Mammal Review,301 401 405 604
MAMMAL STUDY,Mammal Study,401 404 405 604
MAMMALIA,Mammalia,401 404 405 604
MAMMALIAN BIOLOGY,Mammalian Biology,401 405 604
MAMMALIAN GENOME,Mammalian Genome,204 301 302 404 405 604
Management,Management (France),506
Management & Marketing-Challenges for the Knowledge Society,Management and Marketing,506
Management & Organizational History,Management and Organizational History,506
Management Accounting Research,Management Accounting Research,506
