Journal,Humanities,Technology,Medical,Farm,Social,Science,Religion,Arts
revista latinoamericana de hipertension,0,1,1,0,0,0,0,0
revista latinoamericana de investigacion en matematica educativa relime,0,0,0,0,2,0,0,0
revista latinoamericana de la papa,0,0,0,1,0,0,0,0
revista latinoamericana de metodologia de la investigacion social,1,0,0,0,3,0,0,0
revista latinoamericana de metodologia de las ciencias sociales,0,0,0,0,3,0,0,0
revista latinoamericana de poblacion,1,0,0,0,1,0,0,0
revista latinoamericana de psicologia,0,0,0,0,2,0,0,0
revista latinoamericana de tecnologia educativa relatec,0,0,0,0,2,0,0,0
revista letras,2,0,0,0,0,0,0,0
revista mad revista del magister en analisis sistemico aplicado a la sociedad,0,0,0,0,2,0,0,0
revista matematica complutense,0,0,0,0,0,1,0,0
revista matematica iberoamericana,0,0,0,0,0,1,0,0
revista mediacao,0,0,0,1,1,0,0,0
revista medica de chile,0,1,3,1,0,0,0,0
revista medica de rosario,0,1,2,1,0,0,0,0
revista medica del uruguay,0,1,2,1,0,0,0,0
revista mediterranea comunicacion journal of communication,1,0,0,0,1,0,0,0
revista metropolitana de sustentabilidade,0,2,0,0,0,0,0,0
revista mexicana de analisis politico y administracion publica,1,0,0,0,2,0,0,0
revista mexicana de astronomia y astrofisica,0,0,0,0,0,2,0,0
revista mexicana de biodiversidad,0,0,0,1,0,1,0,0
revista mexicana de ciencias geologicas,0,2,0,0,0,1,0,0
revista mexicana de ciencias pecuarias,0,0,0,0,0,1,0,0
revista mexicana de ciencias politicas y sociales,1,0,0,0,3,0,0,0
revista mexicana de fisica,0,2,0,0,0,2,0,0
revista mexicana de ingenieria quimica,0,2,1,0,0,0,0,0
revista mexicana de neurociencia,0,1,1,0,0,0,0,0
revista mexicana de psicologia,0,0,0,0,1,0,0,0
revista musical chilena,2,0,0,0,0,0,0,0
revista mvz cordoba,0,1,0,0,0,1,0,0
revista notas historicas y geograficas,2,0,0,0,0,0,0,0
revista numismatica hecate,1,0,0,0,0,0,0,0
revista olhres,1,0,0,0,0,0,0,0
revista orl,0,0,2,0,0,0,0,0
revista panamericana de salud publica pan american journal of public health,0,0,3,0,0,0,0,0
revista pegada,0,0,0,0,1,0,0,0
revista pensamiento americano,0,0,0,0,1,0,0,0
revista perseitas,5,0,0,0,1,0,0,0
revista perspectiva empresarial,0,0,0,0,1,0,0,0
revista peruana de ginecologia y obstetricia,0,0,1,0,0,0,0,0
revista peruana de investigacion educativa,0,0,0,0,2,0,0,0
revista pistis & praxis teologia e pastoral,0,0,0,0,1,0,1,0
revista portuguesa de cardiologia,0,1,2,0,0,0,0,0
revista portuguesa de endocrinologia diabetes e metabolismo,0,1,1,0,0,1,0,0
revista portuguesa de estomatologia medicina dentaria e cirurgia maxilofacial,0,1,1,0,0,0,0,0
revista portuguesa de historia,2,0,0,0,0,0,0,0
revista portuguesa de investigacao comportamental e social,0,0,0,0,1,0,0,0
revista pos ciencias sociais,1,0,0,0,1,0,0,0
revista praxis educacional,1,0,0,0,0,0,0,0
revista publicando,1,0,0,0,0,0,0,0
revista ra ximhai,0,0,0,0,1,0,0,0
revista republicana,0,0,0,0,4,0,0,0
revista rol de enfermeria,0,1,2,0,0,0,0,0
revista romana de materiale romanian journal of materials,0,5,1,0,0,1,0,0
revista romana de medicina de laborator,0,1,2,0,0,0,0,0
revista romana de medicina veterinara,0,0,0,1,0,0,0,0
revista romaneasca pentru educatie multidimensionala,0,0,0,0,2,0,0,0
revista rupturas,0,0,0,0,5,0,0,0
revista san gregorio,0,0,0,0,1,0,0,0
revista signos,1,0,0,0,0,0,0,0
revista sobre la infancia y la adolescencia,1,0,0,0,1,0,0,0
revista sonda investigacion y docencia en artes y letras,1,0,0,0,1,0,0,0
revista tecnologia e sociedade,1,0,0,0,2,0,0,0
revista tefros,1,0,0,0,0,0,0,0
revista tempos e espacos educacao,0,1,0,0,0,0,0,0
revista unisci,1,0,0,0,2,0,0,0
revista univap,1,4,1,1,1,1,0,0
revista universidad empresa,0,0,0,0,1,0,0,0
revista universidad y sociedad,0,0,0,0,2,0,0,0
revista universitaria de historia militar,1,0,0,0,1,0,0,0
revista uruguaya de historia economica,0,0,0,0,1,0,0,0
revista venezolana de ciencia y tecnologia de alimentos,0,0,0,1,0,0,0,0
revista virtual de estudos da linguagem revel,1,0,0,0,0,0,0,0
revista virtual de quimica,0,2,1,1,0,0,0,0
revista virtual universidad catolica del norte,0,0,0,0,5,0,0,0
revista vortex vortex music journal,1,0,0,0,0,0,0,0
revmar revista ciencias marinas y costeras,0,0,0,1,0,1,0,0
revolutionary russia,1,0,0,0,0,0,0,0
revstat statistical journal,0,1,0,0,3,1,0,0
revue archeologique du centre de la france,1,0,0,0,0,0,0,0
revue belge de philologie et d histoire,4,0,0,0,0,0,0,0
revue biblique,3,0,0,0,0,0,1,0
revue cirkevniho prava church law review,0,0,0,0,1,0,0,0
revue d anthropologie des connaissances,2,0,0,0,2,0,0,0
revue d ecologie la terre et la vie,0,0,0,1,0,1,0,0
revue d economie politique,1,0,0,0,2,0,0,0
revue d economie regionale et urbaine,0,0,0,0,3,0,0,0
revue d epidemiologie et de sante publique,0,1,2,0,0,0,0,0
revue d etudes comparatives est ouest,1,0,0,0,5,0,0,0
revue d etudes tibetaines,2,0,0,0,1,0,0,0
revue d histoire de l amerique francaise,3,0,0,0,0,0,0,0
revue d histoire des mathematiques,1,0,0,0,0,1,0,0
revue d histoire des sciences,3,0,0,0,0,0,0,0
revue d histoire du theatre,3,0,0,0,0,0,0,0
revue d histoire ecclesiastique,2,0,0,0,1,0,1,0
revue d histoire litteraire de la france,1,0,0,0,0,0,0,0
revue d histoire moderne et contemporaine,2,0,0,0,0,0,0,0
revue d oncologie hematologie pediatrique,0,1,3,0,0,1,0,0
revue de geographie alpine journal of alpine research,0,1,0,0,1,1,0,0
revue de l art,2,1,0,0,0,0,0,0
revue de l histoire des religions,2,0,0,0,1,0,1,0
revue de l ires,0,0,0,0,1,0,0,0
revue de linguistique romane,2,0,0,0,0,0,0,0
revue de medecine interne,0,1,3,0,0,0,0,0
revue de medecine veterinaire,0,0,0,2,0,0,0,0
revue de metaphysique et de morale,1,0,0,0,1,0,0,0
revue de musicologie,2,0,0,0,0,0,0,0
revue de philologie de litterature et d histoire anciennes,4,0,0,0,0,0,0,0
revue de pneumologie clinique,0,1,1,0,0,0,0,0
revue de synthese,3,0,0,0,1,0,0,0
revue des composites et des materiaux avances journal of composite and advanced materials,0,3,1,0,0,1,0,0
revue des etudes italiennes,2,0,0,0,0,0,0,0
revue des etudes juives,5,0,0,0,1,0,1,0
revue des langues romanes,1,0,0,0,0,0,0,0
revue des maladies respiratoires,0,1,2,0,0,0,0,0
revue des mondes musulmans et de la mediterranee,3,0,0,0,3,0,0,0
revue des musees de france revue du louvre,3,0,0,0,0,0,0,0
revue des sciences de l education,1,0,0,0,0,0,0,0
revue des sciences philosophiques et theologiques,2,0,0,0,1,0,1,0
revue du nord,4,0,0,0,1,0,0,0
revue economique,0,0,0,0,2,0,0,0
revue europeenne des sciences sociales,1,0,0,0,3,0,0,0
revue francaise d allergologie,0,0,3,0,0,0,0,0
revue francaise d etudes americaines,5,0,0,0,2,0,0,0
revue francaise de linguistique appliquee,1,0,0,0,0,0,0,0
revue francaise de sociologie,1,0,0,0,2,0,0,0
revue general de droit,0,0,0,0,3,0,0,0
revue historique,2,0,0,0,1,0,0,0
revue internationale de geomatique,0,0,0,0,1,1,0,0
revue internationale de philosophie,2,0,0,0,0,0,0,0
revue internationale pme,0,0,0,0,1,0,0,0
revue interventions economiques papers in political economy,0,0,0,0,2,0,0,0
revue italienne d'etudes francaises,2,0,0,0,0,0,0,0
revue lisa lisa e journal,4,0,0,0,2,0,0,0
revue neurologique,0,1,3,0,0,1,0,0
revue philosophique de la france et de l etranger,2,0,0,0,0,0,0,0
revue philosophique de louvain,1,0,0,0,1,0,0,0
revue romane,2,0,0,0,0,0,0,0
revue roumaine de chimie,0,1,1,1,0,0,0,0
revue roumaine de linguistique romanian review of linguistics,1,0,0,0,0,0,0,0
revue roumaine de mathematiques pures et appliquees,0,0,0,0,0,1,0,0
revue roumaine de philosophie,1,0,0,0,0,0,0,0
revue roumaine des sciences techniques serie electrotechnique et energetique,0,1,0,0,0,1,0,0
revue scientifique et technique office international des epizooties,0,1,2,0,0,1,0,0
revue suisse de zoologie,0,0,0,0,0,1,0,0
revue theologique de louvain,0,0,0,0,1,0,1,0
rheologica acta,0,4,1,1,0,2,0,0
rhetoric & public affairs,2,0,0,0,3,0,0,0
rhetoric review,2,0,0,0,0,0,0,0
rhetoric society quarterly,3,0,0,0,1,0,0,0
rhetorica a journal of the history of rhetoric,4,0,0,0,0,0,0,0
rheumatic disease clinics of north america,0,1,2,0,0,0,0,0
rheumatology,0,1,3,0,0,0,0,0
rheumatology and therapy,0,1,2,0,0,0,0,0
rheumatology international,0,1,3,0,0,1,0,0
rheumatology reports,0,1,3,0,0,1,0,0
rhinology,0,1,3,0,0,0,0,0
rhizomata a journal for ancient philosophy and science,2,0,0,0,0,0,0,0
rhodora,0,0,1,2,0,1,0,0
rhythmica revista espanola de metrica comparada,1,0,0,0,0,0,0,0
ri vista ricerche per la progettazione del paesaggio,0,1,0,0,0,0,0,0
ribagua revista iberoamericana del agua,0,1,0,0,0,1,0,0
rice,0,0,0,1,0,1,0,0
rice science,0,0,0,2,0,1,0,0
ricerche di matematica,0,1,0,0,0,1,0,0
ricerche di psicologia,0,0,0,0,1,0,0,0
ricerche di s confine,4,0,0,0,0,0,0,0
ricerche di storia dell arte,1,1,0,0,0,0,0,0
ricerche di storia politica,1,0,0,0,1,0,0,0
ricyde revista internacional de ciencias del deporte,0,0,2,0,0,0,0,0
ride the journal of applied theatre and performance,2,0,0,0,1,0,0,0
ried revista iberoamericana de educacion a distancia,0,0,0,0,2,0,0,0
rie revista de investigacion educativa,0,0,0,0,2,0,0,0
riha journal,2,1,0,0,0,0,0,0
rijksmuseum bulletin,1,0,0,0,0,0,0,0
rilce revista de filologia hispanica,2,0,0,0,0,0,0,0
rinascimento,4,0,0,0,1,0,0,0
riset geologi dan pertambangan,0,1,0,0,0,1,0,0
risk analysis,0,4,2,0,4,0,0,0
risk hazards & crisis in public policy,0,0,0,0,3,0,0,0
risk management and healthcare policy,0,0,3,0,2,0,0,0
risk management journal of risk crisis and disaster,0,2,1,0,4,0,0,0
risks,0,0,0,0,2,0,0,0
risus journal on innovation and sustainability,0,0,0,0,1,0,0,0
rita revista indexada de textos academicos,1,0,0,0,0,0,0,0
rivar revista iberoamericana de viticultura agroindustria y ruralidad,0,0,0,0,1,0,0,0
river research and applications,0,2,0,2,0,2,0,0
rivista d arte,1,1,0,0,0,0,0,0
rivista del nuovo cimento,0,1,0,0,0,2,0,0
rivista di analisi e teoria musicale,1,0,0,0,0,0,0,0
rivista di estetica,2,0,0,0,0,0,0,0
rivista di filologia e di istruzione classica,3,0,0,0,0,0,0,0
rivista di filosofia,1,0,0,0,0,0,0,0
rivista di filosofia del diritto journal of legal philosophy,1,0,0,0,3,0,0,0
rivista di filosofia neo scolastica,1,0,0,0,0,0,0,0
rivista di letteratura italiana,1,0,0,0,0,0,0,0
rivista di letterature moderne e comparate,1,0,0,0,0,0,0,0
rivista di matematica della universita di parma,0,0,0,0,0,1,0,0
rivista di psichiatria,0,0,1,0,0,0,0,0
rivista di psicolinguistica applicata journal of applied psycholinguistics,1,0,0,0,0,0,0,0
rivista di psicologia dell emergenza e dell assistenza umanitaria,0,0,1,0,1,0,0,0
rivista di storia della filosofia,1,0,0,0,0,0,0,0
rivista di storia e letteratura religiosa,3,0,0,0,0,0,1,0
rivista di studi militari,1,0,0,0,1,0,0,0
rivista internazionale di filosofia e psicologia,1,0,0,0,0,0,0,0
rivista italiana delle sostanze grasse,0,0,0,1,0,0,0,0
rivista italiana di filosofia analitica junior,1,0,0,0,0,0,0,0
rivista italiana di filosofia del linguaggio,2,0,0,0,0,0,0,0
rivista italiana di musicologia,1,0,0,0,0,0,0,0
rivista italiana di paleontologia e stratigrafia,0,1,0,0,0,2,0,0
rivista pascoliana,1,0,0,0,0,0,0,0
rivista storica dell antichita,3,0,0,0,1,0,0,0
rivista storica italiana,1,0,0,0,1,0,0,0
rla revista de linguistica teorica y aplicada,1,0,0,0,0,0,0,0
rlc revue de litterature comparee,1,0,0,0,0,0,0,0
rmd open,0,1,3,0,0,1,0,0
rna,0,2,2,2,0,2,0,0
rna biology,0,1,2,1,0,1,0,0
road materials and pavement design,0,3,0,0,0,0,0,0
roads and bridges drogi i mosty,0,3,0,0,1,0,0,0
robotica,0,3,0,0,1,1,0,0
robotics,0,5,0,0,0,1,0,0
robotics and autonomous systems,0,5,0,0,0,1,0,0
robotics and computer integrated manufacturing,0,6,0,0,0,1,0,0
rock and soil mechanics,0,3,0,1,0,0,0,0
rock art research,4,0,0,0,0,0,0,0
rock mechanics and rock engineering,0,3,0,0,0,0,0,0
rocky mountain journal of mathematics,0,0,0,0,0,1,0,0
rocznik ochrona srodowiska,0,4,1,3,3,1,0,0
roczniki humanistyczne,5,0,0,0,3,0,0,0
roeper review a journal on gifted education,0,0,0,0,3,0,0,0
rofo fortschritte auf dem gebiet der rontgenstrahlen und der bildgebenden verfahren,0,1,2,0,0,0,0,0
romance notes,1,0,0,0,0,0,0,0
romance philology,2,0,0,0,0,0,0,0
romance quarterly,1,0,0,0,0,0,0,0
romance studies,1,0,0,0,0,0,0,0
romani studies,4,0,0,0,2,0,0,0
romanian agricultural research,0,0,0,1,0,0,0,0
romanian astronomical journal,0,0,0,0,0,1,0,0
romanian biotechnological letters,0,1,1,1,0,1,0,0
romanian journal of acoustics and vibration,0,4,0,0,0,1,0,0
romanian journal of economic forecasting,0,0,0,0,3,0,0,0
romanian journal of european affairs,1,0,0,0,3,0,0,0
romanian journal of information science and technology,0,3,1,0,0,1,0,0
romanian journal of internal medicine,0,1,2,0,0,0,0,0
romanian journal of legal medicine,0,0,1,0,1,0,0,0
romanian journal of military medicine,0,1,2,0,0,0,0,0
romanian journal of morphology and embryology,0,1,2,0,0,1,0,0
romanian journal of oral rehabilitation,0,0,1,0,0,0,0,0
romanian journal of physics,0,1,0,0,0,2,0,0
romanian journal of political science,1,0,0,0,3,0,0,0
romanian journal of transport infrastructure,0,1,0,0,0,0,0,0
romanian reports in physics,0,1,0,0,0,2,0,0
romanian statistical review,0,0,0,0,2,0,0,0
romanica olomucensia,1,0,0,0,0,0,0,0
romanische forschungen,2,0,0,0,0,0,0,0
romanistische zeitschrift fur literaturgeschichte cahiers d histoire des litteratures romanes,1,0,0,0,1,0,0,0
romanticism,1,0,0,0,0,0,0,0
romantisme,4,0,0,0,0,0,0,0
romische quartalschrift fur christliche altertumskunde und kirchengeschichte,2,0,0,0,1,0,1,0
rosa dos ventos turismo e hospitalidade,0,0,0,0,2,0,0,0
rossiiskaya istoriya,1,0,0,0,2,0,0,0
rossiiskii zhurnal menedzhmenta,0,0,0,0,2,0,0,0
royal society open science,1,5,2,1,4,4,0,0
rqr enfermeria comunitaria,0,0,1,0,0,0,0,0
rsc advances,0,4,1,4,0,1,0,0
rth research trends in humanities education & philosophy,5,0,0,0,0,0,0,0
rubber chemistry and technology,0,4,0,0,0,1,0,0
rudarsko geolosko naftni zbornik,0,2,0,1,0,1,0,0
rupkatha journal on interdisciplinary studies in humanities,5,0,0,0,1,0,0,0
rural and remote health,0,1,3,0,0,0,0,0
rural extension and innovation systems journal,0,0,0,1,0,0,0,0
rural history economy society culture,2,1,0,0,3,0,0,0
rural society,0,0,0,0,3,0,0,0
rural sociology,0,0,0,0,3,0,0,0
rural theology international ecumencial and interdisciplinary perspectives,0,0,0,0,1,0,1,0
rusi journal,1,0,0,0,2,0,0,0
rusin,4,0,0,0,1,0,0,0
russell the journal of the bertrand russell studies,1,0,0,0,0,0,0,0
russian chemical bulletin,0,0,1,0,0,1,0,0
russian chemical reviews,0,1,1,1,0,1,0,0
russian geology and geophysics,0,1,0,0,0,2,0,0
russian history histoire russe,1,0,0,0,1,0,0,0
russian journal of applied chemistry,0,2,1,1,0,1,0,0
russian journal of bioorganic chemistry,0,2,1,1,0,2,0,0
russian journal of building construction and architecture,0,1,0,0,1,0,0,0
russian journal of coordination chemistry,0,2,1,1,0,0,0,0
russian journal of criminology,0,0,0,0,3,0,0,0
russian journal of developmental biology,0,0,0,0,0,1,0,0
russian journal of earth sciences,0,0,0,0,0,1,0,0
russian journal of ecology,0,1,0,2,0,1,0,0
russian journal of electrochemistry,0,3,1,0,0,1,0,0
russian journal of general chemistry,0,2,1,1,0,1,0,0
russian journal of genetics,0,1,3,3,0,1,0,0
russian journal of herpetology,0,0,0,1,0,1,0,0
russian journal of inorganic chemistry,0,3,1,1,0,1,0,0
russian journal of marine biology,0,0,0,1,0,1,0,0
russian journal of mathematical physics,0,0,0,0,0,2,0,0
russian journal of nematology,0,0,0,2,0,1,0,0
russian journal of nondestructive testing,0,3,0,0,0,1,0,0
russian journal of non ferrous metals,0,3,0,0,0,1,0,0
russian journal of numerical analysis and mathematical modelling,0,5,0,0,1,2,0,0
russian journal of organic chemistry,0,1,1,0,0,1,0,0
russian journal of pacific geology,0,1,0,0,0,2,0,0
russian journal of physical chemistry a,0,2,1,0,0,2,0,0
russian journal of physical chemistry b,0,2,1,0,0,2,0,0
russian journal of plant physiology,0,0,1,2,0,1,0,0
russian journal of theriology,0,0,1,1,0,1,0,0
russian law journal,0,0,0,0,3,0,0,0
russian linguistics,1,0,0,0,0,0,0,0
russian literature,1,0,0,0,0,0,0,0
russian mathematical surveys,0,0,0,0,0,1,0,0
russian mathematics,0,0,0,0,0,1,0,0
russian metallurgy,0,2,0,0,0,0,0,0
russian meteorology and hydrology,0,1,0,1,0,1,0,0
russian open medical journal,0,1,2,1,0,0,0,0
russian physics journal,0,2,0,0,0,2,0,0
russian psychological journal,0,0,0,0,1,0,0,0
russian review,3,0,0,0,1,0,0,0
russian studies in literature,1,0,0,0,0,0,0,0
russian studies in philosophy,1,0,0,0,0,0,0,0
russkaia literatura,1,0,0,0,0,0,0,0
rutgers university law review,0,0,0,0,2,0,0,0
s&f scienzaefilosofia it,2,0,0,0,0,0,0,0
sa journal of human resource management,1,0,0,0,2,0,0,0
sa journal of industrial psychology,0,0,1,0,1,0,0,0
sa journal of radiology,0,1,1,0,0,0,0,0
sa pharmaceutical journal incorporating pharmacy management,0,0,1,0,0,0,0,0
saberes,0,0,0,0,1,0,0,0
sabrao journal of breeding and genetics,0,0,2,2,0,1,0,0
sacred music,2,0,0,0,0,0,1,0
sadhana academy proceedings in engineering sciences,0,6,1,1,2,1,0,0
sae international journal of aerospace,0,2,0,0,0,0,0,0
sae international journal of alternative powertrains,0,3,0,0,0,0,0,0
sae international journal of commercial vehicles,0,3,0,0,0,0,0,0
sae international journal of engines,0,3,0,0,0,0,0,0
sae international journal of fuels and lubricants,0,3,0,1,0,1,0,0
sae international journal of materials and manufacturing,0,5,0,0,1,0,0,0
sae international journal of passenger cars electronic and electrical systems,0,2,0,0,1,0,0,0
sae international journal of passenger cars mechanical systems,0,2,0,0,1,0,0,0
sae international journal of transportation safety,0,4,0,0,1,0,0,0
sae international journal of vehicle dynamics stability and nvh,0,2,0,0,0,0,0,0
saeculum,1,0,0,0,1,0,0,0
safer communities,0,0,0,0,2,0,0,0
safety,0,1,3,0,1,0,0,0
safety and health at work,0,3,3,0,2,1,0,0
safety science,0,3,3,0,2,0,0,0
safety science monitor,0,0,1,0,1,0,0,0
safundi the journal of south african and american studies,3,0,0,0,2,0,0,0
sage open,2,0,1,0,6,0,0,0
sage open medical case reports,0,1,3,0,0,0,0,0
sage open medicine,0,1,3,0,0,0,0,0
sage open nursing,0,0,1,0,0,0,0,0
saggiatore musicale,2,0,0,0,0,0,0,0
sagvntvm papeles del laboratorio de arqueologia de valencia,2,1,0,0,0,0,0,0
sahand communications in mathematical analysis,0,0,0,0,0,1,0,0
sahara j journal of social aspects of hiv aids,0,0,1,0,1,1,0,0
saiee africa research journal,0,2,0,0,0,0,0,0
sains malaysiana,2,4,2,1,1,4,0,0
sajog south african journal of obstetrics and gynaecology,0,1,1,0,0,0,0,0
sala preta,3,0,0,0,0,0,0,0
salamandra,0,1,0,1,0,1,0,0
salmagundi a quarterly of the humanities and social sciences,3,0,0,0,1,0,0,0
salud arte y cuidado,0,0,1,0,0,0,0,0
salud colectiva,0,0,2,0,0,0,0,0
salud mental,0,0,1,0,0,0,0,0
salud publica de mexico,0,0,2,0,0,0,0,0
salus journal,0,0,0,0,1,0,0,0
samj south african medical journal,0,1,2,0,0,0,0,0
sampe journal,0,6,1,0,0,1,0,0
sankhya series a mathematical statistics and probability,0,0,0,0,1,1,0,0
sankhya series b applied and interdisciplinary statistics,0,0,0,0,2,1,0,0
sante mentale au quebec,0,0,2,0,0,0,0,0
sante publique,0,0,2,0,0,0,0,0
sao paulo medical journal,0,1,2,1,0,0,0,0
sar and qsar in environmental research,0,3,2,1,0,1,0,0
sarcoidosis vasculitis and diffuse lung diseases,0,1,2,0,0,0,0,0
sartre studies international,2,0,0,0,0,0,0,0
saude e sociedade,0,0,1,0,2,0,0,0
saudi dental journal,0,0,1,0,0,0,0,0
saudi journal of anaesthesia,0,1,2,0,0,0,0,0
saudi journal of biological sciences,0,1,1,2,0,1,0,0
saudi journal of gastroenterology,0,1,1,0,0,0,0,0
saudi journal of kidney diseases and transplantation,0,1,0,1,0,0,0,0
saudi journal of medicine & medical sciences,0,1,2,1,0,0,0,0
saudi journal of ophthalmology,0,1,1,1,0,0,0,0
saudi medical journal,0,1,2,1,0,0,0,0
saudi pharmaceutical journal,0,0,2,1,0,0,0,0
sbornik mathematics,0,0,0,0,0,1,0,0
scalable computing practice and experience,0,2,0,0,0,1,0,0
scandia,2,0,0,0,0,0,0,0
scandinavian actuarial journal,0,0,0,0,2,1,0,0
scandinavian cardiovascular journal,0,1,2,0,0,0,0,0
scandinavian economic history review,2,0,0,0,2,0,0,0
scandinavian journal of caring sciences,0,0,3,0,0,0,0,0
scandinavian journal of child and adolescent psychiatry and psychology,0,0,2,0,1,0,0,0
scandinavian journal of clinical & laboratory investigation,0,1,3,0,0,0,0,0
scandinavian journal of disability research,1,1,3,0,1,0,0,0
scandinavian journal of economics,0,0,0,0,3,0,0,0
scandinavian journal of educational research,0,0,0,0,1,0,0,0
scandinavian journal of forensic science,0,0,1,0,1,0,0,0
scandinavian journal of forest research,0,0,0,2,0,0,0,0
scandinavian journal of gastroenterology,0,1,2,0,0,0,0,0
scandinavian journal of history,2,0,0,0,1,0,0,0
scandinavian journal of hospitality and tourism,1,1,1,0,2,0,0,0
scandinavian journal of immunology,0,1,3,1,0,1,0,0
scandinavian journal of laboratory animal science,0,1,2,2,0,1,0,0
scandinavian journal of management,0,0,0,0,3,0,0,0
scandinavian journal of medicine & science in sports,0,1,3,0,0,0,0,0
scandinavian journal of occupational therapy,0,1,4,0,1,0,0,0
scandinavian journal of pain,0,1,2,0,0,0,0,0
scandinavian journal of primary health care,0,1,3,0,0,0,0,0
scandinavian journal of psychology,1,1,3,1,2,0,0,0
scandinavian journal of public health,0,1,3,1,1,0,0,0
scandinavian journal of rheumatology,0,1,3,1,0,1,0,0
scandinavian journal of statistics,0,1,0,0,3,1,0,0
scandinavian journal of surgery,0,1,2,0,0,0,0,0
scandinavian journal of the old testament,2,0,0,0,0,0,1,0
scandinavian journal of trauma resuscitation & emergency medicine,0,1,2,0,0,0,0,0
scandinavian journal of urology,0,1,2,0,0,0,0,0
scandinavian journal of work environment & health,0,0,3,0,1,0,0,0
scandinavian political studies,1,0,0,0,4,0,0,0
scandinavian studies,5,0,0,0,1,0,0,0
scandinavica,2,0,0,0,1,0,0,0
scando slavica,6,0,0,0,0,0,0,0
scanning,0,6,1,1,0,3,0,0
schizophrenia bulletin,0,0,2,0,0,0,0,0
schizophrenia research,0,0,3,0,0,1,0,0
schizophrenia research and treatment,0,1,2,0,0,0,0,0
schmerz,0,1,2,0,0,0,0,0
schole filosofskoe antikovedenie i klassicheskaya traditsiya schole ancient philosophy and the classical tradition,2,0,0,0,0,0,0,0
school effectiveness and school improvement,0,0,0,0,1,0,0,0
school leadership & management,1,0,0,0,2,0,0,0
school mental health,0,0,0,0,2,0,0,0
school psychology international,0,0,2,0,2,0,0,0
school psychology quarterly,0,0,0,0,2,0,0,0
school psychology review,0,0,0,0,2,0,0,0
school science and mathematics,0,0,0,0,2,0,0,0
schools studies in education,0,0,0,0,1,0,0,0
schweizer archiv fur tierheilkunde,0,0,0,2,0,0,0,0
schweizerische zeitschrift fuer ganzheitsmedizin,0,0,2,0,0,0,0,0
schweizerisches archiv fur volkskunde,2,0,0,0,1,0,0,0
science,1,6,3,3,5,5,0,0
science & education,2,0,0,0,1,0,0,0
science & global security,0,2,0,0,2,0,0,0
science & justice,0,0,2,0,1,1,0,0
science & society,1,0,0,0,5,0,0,0
science & sports,0,1,3,1,0,0,0,0
science & technique,0,6,0,0,1,0,0,0
science activities,0,0,0,0,2,0,0,0
science advances,1,4,3,3,3,5,0,0
science and engineering ethics,2,6,1,1,3,1,0,0
science and engineering of composite materials,0,5,1,1,0,2,0,0
science and innovation,1,6,2,1,4,1,0,0
science and public policy,0,1,0,1,5,0,0,0
science and technology for the built environment,0,4,0,1,1,0,0,0
science and technology of advanced materials,0,4,1,0,0,2,0,0
science and technology of archaeological research,2,0,0,0,0,0,0,0
science and technology of energetic materials,0,5,1,0,0,2,0,0
science and technology of nuclear installations,0,2,0,0,0,0,0,0
science and technology of welding and joining,0,2,1,0,0,1,0,0
science and technology studies,2,0,0,0,1,0,0,0
science as culture,3,1,1,1,1,1,0,0
science bulletin,0,4,2,1,2,5,0,0
science china chemistry,0,1,1,1,0,1,0,0
science china earth sciences,0,2,0,0,1,1,0,0
science china information sciences,0,2,0,0,1,1,0,0
science china life sciences,0,1,2,2,0,2,0,0
science china materials,0,3,1,0,0,1,0,0
science china mathematics,0,0,0,0,0,1,0,0
science china physics mechanics & astronomy,0,2,0,0,0,2,0,0
science china technological sciences,0,5,1,0,1,2,0,0
science communication,1,0,0,0,2,0,0,0
science diliman,0,5,1,1,1,2,0,0
science editing,0,1,1,0,2,0,0,0
science education,0,0,0,0,2,0,0,0
science fiction film and television,2,0,0,0,0,0,0,0
science immunology,0,1,3,1,0,1,0,0
science in context,1,0,1,0,2,0,0,0
science of advanced materials,0,5,1,0,0,1,0,0
science of computer programming,0,2,0,0,0,1,0,0
science of gymnastics journal,0,1,2,0,1,0,0,0
science of nature,1,6,3,2,1,3,0,0
science of sintering,0,3,1,0,0,2,0,0
science of the total environment,0,4,1,4,0,3,0,0
science progress,1,5,3,1,2,4,0,0
science robotics,0,3,0,0,0,0,0,0
science signaling,0,1,3,1,0,2,0,0
science technology & human values,2,2,0,0,5,0,0,0
science technology and society,1,7,1,1,6,2,0,0
science translational medicine,0,1,3,0,0,2,0,0
scienceasia,0,5,1,1,1,3,0,0
science fiction studies,2,0,0,0,0,0,0,0
sciences in cold and arid regions,0,0,0,0,0,1,0,0
sciences sociales et sante,0,0,2,0,2,0,0,0
scientia agricola,0,1,0,1,0,0,0,0
scientia agropecuaria,0,0,0,1,0,0,0,0
scientia et fides,2,0,0,0,2,0,1,0
scientia forestalis,0,0,0,1,0,0,0,0
scientia horticulturae,0,1,0,2,0,0,0,0
scientia iranica,0,4,0,0,1,0,0,0
scientia marina,0,2,0,0,0,2,0,0
scientia medica,0,1,2,1,0,0,0,0
scientia pharmaceutica,0,0,2,0,0,0,0,0
scientific american,0,6,2,2,2,4,0,0
scientific and technical information processing,0,1,0,0,2,1,0,0
scientific annals of computer science,0,2,0,0,0,1,0,0
scientific chronicles,0,1,1,0,0,0,0,0
